Year,State,Constituency_Name,Winner_Candidate,Winner_Party,Previous_Winner,Previous_Party,Incumbent_Reelected
2004,Andaman and Nicobar Islands,Andaman And Nicobar Islands,Manoranjan Bhakta,INC,,,
2009,Andaman and Nicobar Islands,Andaman And Nicobar Islands,Bishnu Pada Ray,BJP,Manoranjan Bhakta,INC,FALSE
2014,Andaman and Nicobar Islands,Andaman And Nicobar Islands,Bishnu Pada Ray,BJP,Bishnu Pada Ray,BJP,TRUE
2019,Andaman and Nicobar Islands,Andaman And Nicobar Islands,Kuldeep Rai Sharma,INC,Bishnu Pada Ray,BJP,FALSE
2024,Andaman and Nicobar Islands,Andaman And Nicobar Islands,Bishnu Pada Ray,BJP,Kuldeep Rai Sharma,INC,FALSE
2004,Andhra Pradesh,Adilabad,Madhusudhan Reddy Takkala,TRS,,,
2009,Andhra Pradesh,Adilabad,Ramesh Rathod,TDP,Madhusudhan Reddy Takkala,TRS,FALSE
2014,Andhra Pradesh,Adilabad,Godam Nagesh,TRS,Ramesh Rathod,TDP,FALSE
2004,Andhra Pradesh,Amalapuram,G. V. Harsha Kumar,INC,,,
2009,Andhra Pradesh,Amalapuram,G. V. Harsha Kumar,INC,G. V. Harsha Kumar,INC,TRUE
2014,Andhra Pradesh,Amalapuram,Pandula Ravindra Babu,TDP,G. V. Harsha Kumar,INC,FALSE
2019,Andhra Pradesh,Amalapuram,Chinta Anuradha,YSRCP,Pandula Ravindra Babu,TDP,FALSE
2024,Andhra Pradesh,Amalapuram,Ganti Harish Madhur,TDP,Chinta Anuradha,YSRCP,FALSE
2004,Andhra Pradesh,Anakapalli,Pappala Chalapathirao,TDP,,,
2009,Andhra Pradesh,Anakapalli,Sabbam Hari,INC,Pappala Chalapathirao,TDP,FALSE
2014,Andhra Pradesh,Anakapalli,Muttamsetti Srinivasa Rao,TDP,Sabbam Hari,INC,FALSE
2019,Andhra Pradesh,Anakapalli,Beesetti Venkata Satyavathi,YSRCP,Muttamsetti Srinivasa Rao,TDP,FALSE
2024,Andhra Pradesh,Anakapalli,C. M. Ramesh,BJP,Beesetti Venkata Satyavathi,YSRCP,FALSE
2004,Andhra Pradesh,Anantapur,Anantha Venkatarami Reddy,INC,,,
2009,Andhra Pradesh,Anantapur,Anantha Venkatarami Reddy,INC,Anantha Venkatarami Reddy,INC,TRUE
2014,Andhra Pradesh,Anantapur,J. C. Diwakar Reddy,TDP,Anantha Venkatarami Reddy,INC,FALSE
2019,Andhra Pradesh,Anantapur,Tallari Rangaiah,YSRCP,J. C. Diwakar Reddy,TDP,FALSE
2024,Andhra Pradesh,Anantapur,Ambica G Lakshminarayana Valmiki,TDP,Tallari Rangaiah,YSRCP,FALSE
2009,Andhra Pradesh,Araku,Kishore Chandra Deo,INC,,,
2014,Andhra Pradesh,Araku,Kothapalli Geetha,YSRCP,Kishore Chandra Deo,INC,FALSE
2019,Andhra Pradesh,Araku,Goddeti Madhavi,YSRCP,Kothapalli Geetha,YSRCP,FALSE
2024,Andhra Pradesh,Araku,Gumma Thanuja Rani,YSRCP,Goddeti Madhavi,YSRCP,FALSE
2004,Andhra Pradesh,Bapatla,Daggubati Purandeswari,INC,,,
2009,Andhra Pradesh,Bapatla,Panabaka Lakshmi,INC,Daggubati Purandeswari,INC,FALSE
2014,Andhra Pradesh,Bapatla,Malyadri Sriram,TDP,Panabaka Lakshmi,INC,FALSE
2019,Andhra Pradesh,Bapatla,Nandigam Suresh,YSRCP,Malyadri Sriram,TDP,FALSE
2024,Andhra Pradesh,Bapatla,Krishna Prasad Tenneti,TDP,Nandigam Suresh,YSRCP,FALSE
2004,Andhra Pradesh,Bhadrachalam,Midiyam Babu Rao,CPI(M),,,
2009,Andhra Pradesh,Bhongir,Komatireddy Raj Gopal Reddy,INC,,,
2014,Andhra Pradesh,Bhongir,Dr. Boora Narsaiah Goud,TRS,Komatireddy Raj Gopal Reddy,INC,FALSE
2004,Andhra Pradesh,Bobbili,Kondapalli Pydithalli Naidu,TDP,,,
2009,Andhra Pradesh,Chevella,Jaipal Reddy,INC,,,
2014,Andhra Pradesh,Chevella,Konda Vishweshwar Reddy,TRS,Jaipal Reddy,INC,FALSE
2004,Andhra Pradesh,Chittoor,D. K. Adikesavulu Naidu,TDP,,,
2009,Andhra Pradesh,Chittoor,Naramalli Sivaprasad,TDP,D. K. Adikesavulu Naidu,TDP,FALSE
2014,Andhra Pradesh,Chittoor,Naramalli Sivaprasad,TDP,Naramalli Sivaprasad,TDP,TRUE
2019,Andhra Pradesh,Chittoor,N. Reddeppa,YSRCP,Naramalli Sivaprasad,TDP,FALSE
2024,Andhra Pradesh,Chittoor,Daggumalla Prasada Rao,TDP,N. Reddeppa,YSRCP,FALSE
2004,Andhra Pradesh,Cuddapah,Y. S. Vivekananda Reddy,INC,,,
2004,Andhra Pradesh,Eluru,Kavuri Samba Siva Rao,INC,,,
2009,Andhra Pradesh,Eluru,Kavuri Samba Siva Rao,INC,Kavuri Samba Siva Rao,INC,TRUE
2014,Andhra Pradesh,Eluru,Maganti Venkateswara Rao,TDP,Kavuri Samba Siva Rao,INC,FALSE
