Year,State,Constituency_No,Constituency_Name,Constituency_Type,Winner_Candidate,Winner_Party,Winner_Votes,Winner_Percentage,Runner_up_Candidate,Runner_up_Party,Runner_up_Votes,Runner_up_Percentage,Margin_Votes,Status,Margin_Percentage,Victory_Category,Coalition_Block,Runner_Up_Ratio,Prev_Winner_Party,Seat_Flip_Status,Incumbent_Hold_Count
2004,Andaman and Nicobar Islands,1,Andaman And Nicobar Islands,GEN,Manoranjan Bhakta,INC,85794.0,60.81,Bishnu Pada Ray,BJP,55294.0,39.19,30500.0,Result Declared,21.62,Landslide,UPA / I.N.D.I.A.,0.6445,,,0
2004,Andhra Pradesh,1,Srikakulam,GEN,Kinjarapu Yerran Naidu,TDP,361906.0,52.3,Killi Krupa Rani,INC,330027.0,47.7,31879.0,Result Declared,4.61,Tight / Close Contest,NDA,0.9119,,,0
2004,Andhra Pradesh,2,Parvathipuram,ST,Kishore Chandra Deo,INC,321788.0,50.58,Veera Gouri Sankara Rao,TDP,314370.0,49.42,7418.0,Result Declared,1.17,Tight / Close Contest,UPA / I.N.D.I.A.,0.9769,,,0
2004,Andhra Pradesh,3,Bobbili,GEN,Kondapalli Pydithalli Naidu,TDP,373922.0,52.19,Jhansi Laxmi Botcha,INC,342574.0,47.81,31348.0,Result Declared,4.38,Tight / Close Contest,NDA,0.9162,,,0
2004,Andhra Pradesh,4,Visakhapatnam,GEN,Nedurumalli Janardhana Reddy,INC,524122.0,57.11,M. V. V. S. Murthi,TDP,393551.0,42.89,130571.0,Result Declared,14.23,Comfortable,UPA / I.N.D.I.A.,0.7509,,,0
2004,Andhra Pradesh,5,Bhadrachalam,ST,Midiyam Babu Rao,CPI(M),373148.0,53.88,KPRK Phaneeswaramma,TDP,319342.0,46.12,53806.0,Result Declared,7.77,Comfortable,UPA / I.N.D.I.A.,0.8558,,,0
2004,Andhra Pradesh,6,Anakapalli,GEN,Pappala Chalapathirao,TDP,385406.0,51.02,Nanda Gopal Gandham,INC,369992.0,48.98,15414.0,Result Declared,2.04,Tight / Close Contest,NDA,0.96,,,0
2004,Andhra Pradesh,7,Kakinada,GEN,Mallipudi Mangapati Pallam Raju,INC,410982.0,53.74,Mudragada Padmanabham,TDP,353730.0,46.26,57252.0,Result Declared,7.49,Comfortable,UPA / I.N.D.I.A.,0.8607,,,0
2004,Andhra Pradesh,8,Rajahmundry,GEN,Vundavalli Aruna Kumar,INC,413927.0,60.96,Kantipudi Sarvarayudu,BJP,265107.0,39.04,148820.0,Result Declared,21.92,Landslide,UPA / I.N.D.I.A.,0.6405,,,0
2004,Andhra Pradesh,9,Amalapuram,SC,G. V. Harsha Kumar,INC,350346.0,53.15,Dunna Janardhana Rao,TDP,308861.0,46.85,41485.0,Result Declared,6.29,Comfortable,UPA / I.N.D.I.A.,0.8816,,,0
2004,Andhra Pradesh,10,Narasapur,GEN,Chegondi Venkata Harirama Jogaiah,INC,402761.0,54.35,U. V. Krishnam Raju,BJP,338349.0,45.65,64412.0,Result Declared,8.69,Comfortable,UPA / I.N.D.I.A.,0.8401,,,0
2004,Andhra Pradesh,11,Eluru,GEN,Kavuri Samba Siva Rao,INC,499191.0,57.04,Bolla Bulli Ramaiah,TDP,375900.0,42.96,123291.0,Result Declared,14.09,Comfortable,UPA / I.N.D.I.A.,0.753,,,0
2004,Andhra Pradesh,12,Machilipatnam,GEN,Badiga Ramakrishna,INC,387127.0,53.48,Ambati Brahmanaiah,TDP,336786.0,46.52,50341.0,Result Declared,6.95,Comfortable,UPA / I.N.D.I.A.,0.87,,,0
2004,Andhra Pradesh,13,Vijayawada,GEN,Lagadapati Rajagopal,INC,519624.0,56.2,Chalasani Ashwini Dutt,TDP,405037.0,43.8,114587.0,Result Declared,12.39,Comfortable,UPA / I.N.D.I.A.,0.7795,,,0
2004,Andhra Pradesh,14,Tenali,GEN,Vallabhaneni Balasouri,INC,366843.0,56.0,Ummareddy Venkateswarlu,TDP,288287.0,44.0,78556.0,Result Declared,11.99,Comfortable,UPA / I.N.D.I.A.,0.7859,,,0
2004,Andhra Pradesh,15,Guntur,GEN,Rayapati Sambasiva Rao,INC,466221.0,58.09,Yemparala Venkateswara Rao,TDP,336429.0,41.91,129792.0,Result Declared,16.17,Landslide,UPA / I.N.D.I.A.,0.7216,,,0
2004,Andhra Pradesh,16,Bapatla,GEN,Daggubati Purandeswari,INC,411099.0,56.46,Daggubati Ramanaidu,TDP,317017.0,43.54,94082.0,Result Declared,12.92,Comfortable,UPA / I.N.D.I.A.,0.7711,,,0
2004,Andhra Pradesh,17,Narasaraopet,GEN,Mekapati Rajamohan Reddy,INC,481310.0,54.92,Maddi Lakshmaiah,TDP,395055.0,45.08,86255.0,Result Declared,9.84,Comfortable,UPA / I.N.D.I.A.,0.8208,,,0
2004,Andhra Pradesh,18,Ongole,GEN,Magunta Sreenivasulu Reddy,INC,446584.0,56.73,Bathula Vijaya Bharathi,TDP,340563.0,43.27,106021.0,Result Declared,13.47,Comfortable,UPA / I.N.D.I.A.,0.7626,,,0
2004,Andhra Pradesh,19,Nellore,SC,Panabaka Lakshmi,INC,450129.0,58.3,Balakondaiah Karupotala,BJP,321905.0,41.7,128224.0,Result Declared,16.61,Landslide,UPA / I.N.D.I.A.,0.7151,,,0
2004,Andhra Pradesh,20,Tirupathi,SC,Chinta Mohan,INC,510961.0,62.12,Nandipaku Venkataswamy,BJP,311633.0,37.88,199328.0,Result Declared,24.23,Landslide,UPA / I.N.D.I.A.,0.6099,,,0
2004,Andhra Pradesh,21,Chittoor,GEN,D. K. Adikesavulu Naidu,TDP,454128.0,53.67,Ravuri Venkata Swamy,INC,391990.0,46.33,62138.0,Result Declared,7.34,Comfortable,NDA,0.8632,,,0
2004,Andhra Pradesh,22,Rajampet,GEN,Sai Prathap Annayyagari,INC,369797.0,55.9,Gunipati Ramaiah,TDP,291712.0,44.1,78085.0,Result Declared,11.8,Comfortable,UPA / I.N.D.I.A.,0.7888,,,0
2004,Andhra Pradesh,23,Cuddapah,GEN,Y. S. Vivekananda Reddy,INC,461431.0,58.32,M. V. Mysura Reddy,TDP,329757.0,41.68,131674.0,Result Declared,16.64,Landslide,UPA / I.N.D.I.A.,0.7146,,,0
2004,Andhra Pradesh,24,Hindupur,GEN,G. Nizamuddin,INC,419744.0,50.11,B K Parthasarathi,TDP,417904.0,49.89,1840.0,Result Declared,0.22,Tight / Close Contest,UPA / I.N.D.I.A.,0.9956,,,0
2004,Andhra Pradesh,25,Anantapur,GEN,Anantha Venkatarami Reddy,INC,458925.0,54.35,Kalava Srinivasulu,TDP,385521.0,45.65,73404.0,Result Declared,8.69,Comfortable,UPA / I.N.D.I.A.,0.8401,,,0
2004,Andhra Pradesh,26,Kurnool,GEN,Kotla Jayasurya Prakasha Reddy,INC,433529.0,56.6,K. E. Krishnamurthy,TDP,332431.0,43.4,101098.0,Result Declared,13.2,Comfortable,UPA / I.N.D.I.A.,0.7668,,,0
2004,Andhra Pradesh,27,Nandyal,GEN,S. P. Y. Reddy,INC,458526.0,56.93,Bhuma Shobha Nagi Reddy,TDP,346847.0,43.07,111679.0,Result Declared,13.87,Comfortable,UPA / I.N.D.I.A.,0.7564,,,0
2004,Andhra Pradesh,28,Nagarkurnool,SC,Manda Jagannath,TDP,405046.0,57.01,K.S.Ratnam,IND,305396.0,42.99,99650.0,Result Declared,14.03,Comfortable,NDA,0.754,,,0
2004,Andhra Pradesh,29,Mahabubnagar,GEN,Devarakonda Vittal Rao,INC,428764.0,52.96,Yelkoti Yella Reddy,TDP,380857.0,47.04,47907.0,Result Declared,5.92,Comfortable,UPA / I.N.D.I.A.,0.8883,,,0
2004,Andhra Pradesh,30,Hyderabad,GEN,Asaduddin Owaisi,AIMIM,378854.0,57.61,G Subash Chanderji,BJP,278709.0,42.39,100145.0,Result Declared,15.23,Landslide,Others / Regional,0.7357,,,0
2004,Andhra Pradesh,31,Secunderabad,GEN,Anjan Kumar Yadav,INC,485710.0,53.81,Bandaru Dattatreya,BJP,416952.0,46.19,68758.0,Result Declared,7.62,Comfortable,UPA / I.N.D.I.A.,0.8584,,,0
2004,Andhra Pradesh,32,Siddipet,SC,Sarvey Satyanarayana,INC,593879.0,56.63,K Lingaiah,TDP,454907.0,43.37,138972.0,Result Declared,13.25,Comfortable,UPA / I.N.D.I.A.,0.766,,,0
2004,Andhra Pradesh,33,Medak,GEN,A. Narendra,TRS,453738.0,57.9,P Ramachandra Reddy,BJP,329972.0,42.1,123766.0,Result Declared,15.79,Landslide,Others / Regional,0.7272,,,0
2004,Andhra Pradesh,34,Nizamabad,GEN,Madhu Goud Yaskhi,INC,442142.0,59.24,Syed Yousuf Ali,TDP,304271.0,40.76,137871.0,Result Declared,18.47,Landslide,UPA / I.N.D.I.A.,0.6882,,,0
2004,Andhra Pradesh,35,Adilabad,GEN,Madhusudhan Reddy Takkala,TRS,415429.0,52.59,Samudrala Venugopal Chary,TDP,374455.0,47.41,40974.0,Result Declared,5.19,Comfortable,Others / Regional,0.9014,,,0
2004,Andhra Pradesh,36,Peddapalli,SC,Gaddam Venkatswamy,INC,572207.0,64.93,C Suguna Kumari,TDP,309072.0,35.07,263135.0,Result Declared,29.86,Landslide,UPA / I.N.D.I.A.,0.5401,,,0
2004,Andhra Pradesh,37,Karimnagar,GEN,K. Chandrashekar Rao,TRS,451199.0,58.5,Chennamaneni Vidyasagar Rao,BJP,320031.0,41.5,131168.0,Result Declared,17.01,Landslide,Others / Regional,0.7093,,,0
2004,Andhra Pradesh,38,Hanamkonda,GEN,Boianapalli Vinod Kumar,TRS,496048.0,64.0,Chada Suresh Reddy,TDP,278981.0,36.0,217067.0,Result Declared,28.01,Landslide,Others / Regional,0.5624,,,0
