Year,Party,Votes,Seats,Percentage,Coalition_Block,Seat_Conversion_Efficiency
2004,AD(S),844053.0,0,0.22,NDA,0.0
2004,AGP,2069600.0,2,0.53,NDA,3.77
2004,AIADMK,8547014.0,0,2.19,Others / Regional,0.0
2004,AIFB,1365055.0,3,0.35,Left Front,8.57
2004,AIMIM,417248.0,1,0.11,Others / Regional,9.09
2004,AJSU,157930.0,0,0.04,NDA,0.0
2004,Akhand Bharti,138.0,0,0.0,Others / Regional,0.0
2004,Akhil Bharatiya Congress Dal (Ambedkar),19548.0,0,0.01,Others / Regional,0.0
2004,Akhil Bharatiya Desh Bhakt Morcha,7696.0,0,0.0,Others / Regional,0.0
2004,Akhil Bharatiya Lok Tantrik Alp-Sankhyak Jan Morcha,6003.0,0,0.0,Others / Regional,0.0
2004,Akhil Bharatiya Rashtriya Azad Hind Party,2801.0,0,0.0,Others / Regional,0.0
2004,Akhil Bharatiya Sena,92210.0,0,0.02,Others / Regional,0.0
2004,Akhil Bhartiya Loktantra Party,754.0,0,0.0,Others / Regional,0.0
2004,Akhil Bhartiya Rajarya Sabha,2080.0,0,0.0,Others / Regional,0.0
2004,All India Minorities Front,4874.0,0,0.0,Others / Regional,0.0
2004,All India Momin Conference,5113.0,0,0.0,Others / Regional,0.0
2004,All Kerala M.G.R. Dravida Munnetra Party,2158.0,0,0.0,Others / Regional,0.0
2004,Ambedkar National Congress,825.0,0,0.0,Others / Regional,0.0
2004,Ambedkar Samaj Party,20767.0,0,0.01,Others / Regional,0.0
2004,Ambedkarist Republican Party,31467.0,0,0.01,Others / Regional,0.0
2004,Amra Bangali,38107.0,0,0.01,Others / Regional,0.0
2004,Arunachal Congress,76527.0,0,0.02,Others / Regional,0.0
2004,Autonomous State Demand Committee,101808.0,0,0.03,Others / Regional,0.0
2004,Awami Party,327.0,0,0.0,Others / Regional,0.0
2004,BJD,5082849.0,11,1.3,Others / Regional,8.46
2004,BJP,86371561.0,138,22.16,NDA,6.23
2004,BSP,20765229.0,19,5.33,Others / Regional,3.56
2004,Bahujan Kisan Dal,52669.0,0,0.01,Others / Regional,0.0
2004,Bahujan Vikas Party,4533.0,0,0.0,Others / Regional,0.0
2004,Bharat Ki Lok Jimmedar Party,2055.0,0,0.0,Others / Regional,0.0
2004,Bharat Kranti Rakshak Party,12547.0,0,0.0,Others / Regional,0.0
2004,Bharatiya Backward Party,2162.0,0,0.0,Others / Regional,0.0
2004,Bharatiya Eklavya Party,12197.0,0,0.0,Others / Regional,0.0
2004,Bharatiya Ekta Dal,4312.0,0,0.0,Others / Regional,0.0
2004,Bharatiya Gaon Taj Dal,19909.0,0,0.01,Others / Regional,0.0
2004,Bharatiya Jana Sangh,9707.0,0,0.0,Others / Regional,0.0
2004,Bharatiya Janvadi Party,543.0,0,0.0,Others / Regional,0.0
2004,Bharatiya Labour Party,1758.0,0,0.0,Others / Regional,0.0
2004,Bharatiya Manavata Vikas Party,24176.0,0,0.01,Others / Regional,0.0
2004,Bharatiya Minorities Suraksha Mahasangh,8200.0,0,0.0,Others / Regional,0.0
2004,Bharatiya Muhabbat Party (All India),566.0,0,0.0,Others / Regional,0.0
2004,Bharatiya Nagrik Party,1580.0,0,0.0,Others / Regional,0.0
2004,Bharatiya Navshakti Party,171080.0,1,0.04,Others / Regional,25.0
2004,Bharatiya Prajatantra Party,573.0,0,0.0,Others / Regional,0.0
2004,Bharatiya Prajatantrik Shudh Gandhiwadi Krishak Dal,1689.0,0,0.0,Others / Regional,0.0
2004,Bharatiya Rashtravadi Paksha,11459.0,0,0.0,Others / Regional,0.0
2004,Bharatiya Republican Paksha,16546.0,0,0.0,Others / Regional,0.0
2004,Bharatiya Sarvkalyan Krantidal,365.0,0,0.0,Others / Regional,0.0
2004,Bharatiya Surajya Manch,515.0,0,0.0,Others / Regional,0.0
2004,Bharipa Bahujan Mahasangh,428566.0,0,0.11,Others / Regional,0.0
2004,Bharti Sarvadarshi Parishad,427.0,0,0.0,Others / Regional,0.0
2004,Bhartiya Lok Kalyan Dal,2242.0,0,0.0,Others / Regional,0.0
2004,Bihar People'S Party,86418.0,0,0.02,Others / Regional,0.0
2004,CPI,5484111.0,10,1.41,UPA / I.N.D.I.A.,7.09
2004,CPI(M),22070614.0,43,5.66,UPA / I.N.D.I.A.,7.6
2004,CPI(ML)L,1281688.0,0,0.33,UPA / I.N.D.I.A.,0.0
2004,Chhattisgarhi Samaj Party,24696.0,0,0.01,Others / Regional,0.0
2004,DMK,7064393.0,16,1.81,UPA / I.N.D.I.A.,8.84
2004,Democratic Bharatiya Samaj Party,6717.0,0,0.0,Others / Regional,0.0
2004,Desh Bhakt Party,912.0,0,0.0,Others / Regional,0.0
2004,Ekta Krandi Dal U.P.,1939.0,0,0.0,Others / Regional,0.0
2004,Ekta Shakti,126924.0,0,0.03,Others / Regional,0.0
2004,Ephraim Union,6512.0,0,0.0,Others / Regional,0.0
2004,Federal Congress Of India,1037.0,0,0.0,Others / Regional,0.0
2004,Federal Party Of Manipur,88179.0,0,0.02,Others / Regional,0.0
2004,Gondwana Ganatantra Party,720189.0,0,0.18,Others / Regional,0.0
2004,Haryana Vikas Party,506122.0,0,0.13,Others / Regional,0.0
2004,Hind Morcha,1459.0,0,0.0,Others / Regional,0.0
2004,Hindu Ekta Andolan Party,620.0,0,0.0,Others / Regional,0.0
2004,Hindu Mahasabha,88214.0,0,0.02,Others / Regional,0.0
2004,Hindustan Janata Party,17410.0,0,0.0,Others / Regional,0.0
2004,INC,103408949.0,145,26.53,UPA / I.N.D.I.A.,5.47
2004,IND,16549900.0,5,4.25,Others / Regional,1.18
2004,IUML,770098.0,1,0.2,UPA / I.N.D.I.A.,5.0
2004,Indian Bahujan Samajwadi Party,972.0,0,0.0,Others / Regional,0.0
2004,Indian Federal Democratic Party,256411.0,1,0.07,Others / Regional,14.29
2004,Indian Justice Party,67914.0,0,0.02,Others / Regional,0.0
2004,Indian National League,20159.0,0,0.01,Others / Regional,0.0
2004,Indian National Lok Dal,1936703.0,0,0.5,Others / Regional,0.0
2004,JD(S),5732296.0,3,1.47,Others / Regional,2.04
2004,JD(U),9144963.0,8,2.35,NDA,3.4
2004,JKNC,493067.0,2,0.13,UPA / I.N.D.I.A.,15.38
2004,JMM,1846843.0,5,0.47,UPA / I.N.D.I.A.,10.64
2004,Jai Hind Party,8645.0,0,0.0,Others / Regional,0.0
2004,Jammu And Kashmir Awami League,1519.0,0,0.0,Others / Regional,0.0
2004,Jammu And Kashmir National Panthers Party,70078.0,0,0.02,Others / Regional,0.0
2004,Jan Chetna Party,671.0,0,0.0,Others / Regional,0.0
2004,Jana Unnayan Mancha,2592.0,0,0.0,Others / Regional,0.0
2004,Janata Party,517683.0,0,0.13,Others / Regional,0.0
2004,Janata Vikas Party,3173.0,0,0.0,Others / Regional,0.0
2004,Janhit Samaj Party,1310.0,0,0.0,Others / Regional,0.0
2004,Janmangal Paksh,2684.0,0,0.0,Others / Regional,0.0
2004,Jansatta Party,1189.0,0,0.0,Others / Regional,0.0
2004,Jebamani Janata,734.0,0,0.0,Others / Regional,0.0
2004,Jharkhand Disom Party,135685.0,0,0.03,Others / Regional,0.0
2004,Jharkhand Party,74364.0,0,0.02,Others / Regional,0.0
2004,Jharkhand Party (Naren),67782.0,0,0.02,Others / Regional,0.0
2004,Jharkhand People'S Party,1449.0,0,0.0,Others / Regional,0.0
2004,Kannada Nadu Party,349183.0,0,0.09,Others / Regional,0.0
2004,Kerala Congress,353905.0,1,0.09,Others / Regional,11.11
2004,Kerala Congress (M),209880.0,0,0.05,Others / Regional,0.0
2004,Kosi Vikas Party,25258.0,0,0.01,Others / Regional,0.0
2004,Kranti Kari Jai Hind Sena,3393.0,0,0.0,Others / Regional,0.0
2004,Krantikari Manuwadi Morcha,597.0,0,0.0,Others / Regional,0.0
2004,Krantikari Samyavadi Party,6948.0,0,0.0,Others / Regional,0.0
2004,LJP,2771427.0,4,0.71,NDA,5.63
2004,Labour Party (Secular),63989.0,0,0.02,Others / Regional,0.0
2004,Labour Party Of India (V.V. Prasad),4977.0,0,0.0,Others / Regional,0.0
2004,Lok Bhalai Party,187787.0,0,0.05,Others / Regional,0.0
2004,Lok Rajya Party,54097.0,0,0.01,Others / Regional,0.0
2004,Lok Sewa Dal,2646.0,0,0.0,Others / Regional,0.0
2004,Lokpriya Samaj Party,9913.0,0,0.0,Others / Regional,0.0
2004,Loktantrik Chetna Party,2776.0,0,0.0,Others / Regional,0.0
2004,Loktantrik Samajwadi Party,22811.0,0,0.01,Others / Regional,0.0
2004,MDMK,1679870.0,4,0.43,UPA / I.N.D.I.A.,9.3
2004,Mahabharat People'S Party,77055.0,0,0.02,Others / Regional,0.0
2004,Maharashtra Rajiv Congress,1399.0,0,0.0,Others / Regional,0.0
2004,Maharashtrawadi Gomantak Party,7584.0,0,0.0,Others / Regional,0.0
2004,Majlis Bachao Tahreek,47560.0,0,0.01,Others / Regional,0.0
2004,Manav Jagriti Manch,552.0,0,0.0,Others / Regional,0.0
2004,Manuvadi Party,14233.0,0,0.0,Others / Regional,0.0
2004,Marxist Co-Ordination Committee,147470.0,0,0.04,Others / Regional,0.0
2004,Marxist Communist Party Of India (S.S. Srivastava),38766.0,0,0.01,Others / Regional,0.0
2004,Mizo National Front,182864.0,1,0.05,Others / Regional,20.0
2004,Mool Bharati (S) Party,1675.0,0,0.0,Others / Regional,0.0
2004,Mudiraj Rashtriya Samithi,3345.0,0,0.0,Others / Regional,0.0
2004,NCP,7023175.0,9,1.8,NDA,5.0
2004,Naari Shakti Party,4649.0,0,0.0,Others / Regional,0.0
2004,Naga People'S Front,715366.0,1,0.18,Others / Regional,5.56
2004,National Loktantrik Party,367049.0,1,0.09,Others / Regional,11.11
2004,National Students Party,3069.0,0,0.0,Others / Regional,0.0
2004,Navabharata Nirman Party,7169.0,0,0.0,Others / Regional,0.0
2004,Nidaya Malik (N) Party,1030.0,0,0.0,Others / Regional,0.0
2004,Niswarth Sewa Party,730.0,0,0.0,Others / Regional,0.0
2004,Nominated Anglo-Indian,0.0,2,0.0,Others / Regional,0.0
2004,Ntr Telugu Desam Party (Lakshmi Parvathi),759.0,0,0.0,Others / Regional,0.0
2004,Pachim Banga Rajya Muslim League,10446.0,0,0.0,Others / Regional,0.0
2004,Panchayat Raj Party,2165.0,0,0.0,Others / Regional,0.0
2004,Parivartan Samaj Party,12273.0,0,0.0,Others / Regional,0.0
2004,Parmarth Party,126.0,0,0.0,Others / Regional,0.0
2004,Party Of Democratic Socialism,81999.0,0,0.02,Others / Regional,0.0
2004,Pattali Makkal Katchi,2169020.0,6,0.56,Others / Regional,10.71
2004,Pdp(In Kashmir),267457.0,1,0.07,Others / Regional,14.29
2004,Peasants And Workers Party Of India,319572.0,0,0.08,Others / Regional,0.0
2004,Peoples Democratic Party,45720.0,0,0.01,Others / Regional,0.0
2004,Peoples Republican Party,261219.0,0,0.07,Others / Regional,0.0
2004,Phule Bharti Lok Party,1690.0,0,0.0,Others / Regional,0.0
2004,Pichhra Samaj Party,5672.0,0,0.0,Others / Regional,0.0
2004,Prabuddha Republican Party,29792.0,0,0.01,Others / Regional,0.0
2004,Pragatisheel Manav Samaj Party,54746.0,0,0.01,Others / Regional,0.0
2004,Praja Party,485.0,0,0.0,Others / Regional,0.0
2004,Proutist Sarva Samaj Party,11561.0,0,0.0,Others / Regional,0.0
2004,Pyramid Party Of India,130362.0,0,0.03,Others / Regional,0.0
2004,RJD,9384147.0,24,2.41,UPA / I.N.D.I.A.,9.96
2004,RLD,2463607.0,3,0.63,NDA,4.76
2004,RSP,1689794.0,3,0.43,UPA / I.N.D.I.A.,6.98
2004,Rajasthan Vikash Party,10032.0,0,0.0,Others / Regional,0.0
2004,Rashtravadi Communist Party,28757.0,0,0.01,Others / Regional,0.0
2004,Rashtravadi Janata Party,3737.0,0,0.0,Others / Regional,0.0
2004,Rashtriya Garib Dal,1977.0,0,0.0,Others / Regional,0.0
2004,Rashtriya Garima Party,2043.0,0,0.0,Others / Regional,0.0
2004,Rashtriya Hamara Dal,12346.0,0,0.0,Others / Regional,0.0
2004,Rashtriya Janadhikar Party,487.0,0,0.0,Others / Regional,0.0
2004,Rashtriya Krantikari Samajwadi Party,9145.0,0,0.0,Others / Regional,0.0
2004,Rashtriya Lok Seva Morcha,2476.0,0,0.0,Others / Regional,0.0
2004,Rashtriya Parivartan Dal,139145.0,0,0.04,Others / Regional,0.0
2004,Rashtriya Sakar Party,379.0,0,0.0,Others / Regional,0.0
2004,Rashtriya Samaj Paksha,146571.0,0,0.04,Others / Regional,0.0
2004,Rashtriya Samajik Nayak Paksha,27594.0,0,0.01,Others / Regional,0.0
2004,Rashtriya Samanta Dal,209694.0,0,0.05,Others / Regional,0.0
2004,Rashtriya Swabhimaan Party,58296.0,0,0.01,Others / Regional,0.0
2004,Rashtriya Swarn Dal,7374.0,0,0.0,Others / Regional,0.0
2004,Rashtriya Vikas Party,15159.0,0,0.0,Others / Regional,0.0
2004,Republican Party Of India,295545.0,0,0.08,Others / Regional,0.0
2004,Republican Party Of India (Athawale),367510.0,1,0.09,Others / Regional,11.11
2004,Republican Party Of India (Democratic),2370.0,0,0.0,Others / Regional,0.0
2004,Republican Party Of India (Khobragade),4790.0,0,0.0,Others / Regional,0.0
2004,Revolutionary Communist Party Of India (Rasik Bhatt),16691.0,0,0.0,Others / Regional,0.0
2004,SAD,3506681.0,8,0.9,NDA,8.89
2004,SDF,153409.0,1,0.04,Others / Regional,25.0
2004,SP,16824072.0,36,4.32,UPA / I.N.D.I.A.,8.33
2004,SS,7056255.0,12,1.81,NDA,6.63
2004,Samajwadi Jan Parishad,17717.0,0,0.0,Others / Regional,0.0
2004,Samajwadi Janata Party (Rashtriya),337386.0,1,0.09,Others / Regional,11.11
2004,Samata Samaj Party,78791.0,0,0.02,Others / Regional,0.0
2004,Sampurna Vikas Dal,27135.0,0,0.01,Others / Regional,0.0
2004,Samta Party,201276.0,0,0.05,Others / Regional,0.0
2004,Sanatan Samaj Party,2679.0,0,0.0,Others / Regional,0.0
2004,Savarn Samaj Party,21246.0,0,0.01,Others / Regional,0.0
2004,Secular Party Of India,3041.0,0,0.0,Others / Regional,0.0
2004,Shikshit Berozgar Sena,4303.0,0,0.0,Others / Regional,0.0
2004,Shiromani Akali Dal (Simranjit Singh Mann),387682.0,0,0.1,Others / Regional,0.0
2004,Shivrajya Party,18374.0,0,0.0,Others / Regional,0.0
2004,Shoshit Samaj Dal,8862.0,0,0.0,Others / Regional,0.0
2004,Shoshit Samaj Party,395.0,0,0.0,Others / Regional,0.0
2004,Sikkim Himali Rajya Parishad,2765.0,0,0.0,Others / Regional,0.0
2004,Sikkim Sangram Parishad,3216.0,0,0.0,Others / Regional,0.0
2004,Social Action Party,2987.0,0,0.0,Others / Regional,0.0
2004,Socialist Party (Lohia),18628.0,0,0.0,Others / Regional,0.0
2004,Socialistic Democratic Party,1265.0,0,0.0,Others / Regional,0.0
2004,Suheldev Bharatiya Samaj Party,275267.0,0,0.07,Others / Regional,0.0
2004,Swaraj Dal,298.0,0,0.0,Others / Regional,0.0
2004,TDP,11844811.0,5,3.04,NDA,1.64
2004,TMC,8071867.0,2,2.07,UPA / I.N.D.I.A.,0.97
2004,TRS,2441405.0,5,0.63,Others / Regional,7.94
2004,Tamil Desiyak Katchi,25348.0,0,0.01,Others / Regional,0.0
2004,Trinamool Gana Parishad,14933.0,0,0.0,Others / Regional,0.0
2004,United Goans Democratic Party,5881.0,0,0.0,Others / Regional,0.0
2004,"United Minorities Front, Assam",64657.0,0,0.02,Others / Regional,0.0
2004,Urs Samyuktha Paksha,33128.0,0,0.01,Others / Regional,0.0
2004,Uttarakhand Kranti Dal,43899.0,0,0.01,Others / Regional,0.0
2004,Vidarbha Janata Congress,9097.0,0,0.0,Others / Regional,0.0
2004,Vidharbha Rajya Party,36974.0,0,0.01,Others / Regional,0.0
2004,Vijeta Party,1304.0,0,0.0,Others / Regional,0.0
2004,Vikas Party,2998.0,0,0.0,Others / Regional,0.0
2004,Youth And Students Party,6580.0,0,0.0,Others / Regional,0.0
2004,Yuva Gantantra Party,4140.0,0,0.0,Others / Regional,0.0
2009,A-Chik National Congress (Democratic),40204.0,0,0.01,Others / Regional,0.0
2009,AD(S),495032.0,0,0.12,NDA,0.0
2009,AGP,1773103.0,1,0.43,NDA,2.33
2009,AIADMK,6953591.0,9,1.67,Others / Regional,5.39
2009,AIFB,1345803.0,2,0.32,Left Front,6.25
2009,AIMIM,308061.0,1,0.07,Others / Regional,14.29
2009,AJSU,200523.0,0,0.05,NDA,0.0
2009,Aadivasi Sena Party,9936.0,0,0.0,Others / Regional,0.0
2009,Adarshwadi Dal,614.0,0,0.0,Others / Regional,0.0
2009,Advait Ishwasyam Congress,1718.0,0,0.0,Others / Regional,0.0
2009,Ajeya Bharat Party,7567.0,0,0.0,Others / Regional,0.0
2009,Akhil Bartiya Manav Seva Dal,26268.0,0,0.01,Others / Regional,0.0
2009,Akhil Bharatiya Ashok Sena,13828.0,0,0.0,Others / Regional,0.0
2009,Akhil Bharatiya Congress Dal (Ambedkar),22861.0,0,0.01,Others / Regional,0.0
2009,Akhil Bharatiya Desh Bhakt Morcha,6220.0,0,0.0,Others / Regional,0.0
2009,Akhil Bharatiya Hind Kranti Party,2633.0,0,0.0,Others / Regional,0.0
2009,Akhil Bharatiya Mahasand Sarvahara Krantikari Party,1197.0,0,0.0,Others / Regional,0.0
2009,Akhil Bharatiya Shivsena Rashtrawadi,1108.0,0,0.0,Others / Regional,0.0
2009,Akhil Bhartiya Kisan Mazdoor Morcha,305.0,0,0.0,Others / Regional,0.0
2009,Akhil Bhartiya Loktantra Party,578.0,0,0.0,Others / Regional,0.0
2009,Akhil Bhartiya Manavata Paksha,1619.0,0,0.0,Others / Regional,0.0
2009,Akhil Bhartiya Rajarya Sabha,8065.0,0,0.0,Others / Regional,0.0
2009,Akhil Bhartiya Sindhu Samajwadi Party,786.0,0,0.0,Others / Regional,0.0
2009,Akhil Rashtrawadi Party,969.0,0,0.0,Others / Regional,0.0
2009,Akhila India Jananayaka Makkal Katchi (Dr. Issac),21609.0,0,0.01,Others / Regional,0.0
2009,Akila India Vallalar Peravai,20982.0,0,0.01,Others / Regional,0.0
2009,All India Bahujan Samman Party,1217.0,0,0.0,Others / Regional,0.0
2009,All India Bharti Jug Party,1085.0,0,0.0,Others / Regional,0.0
2009,All India Dalit Welfare Congress,8961.0,0,0.0,Others / Regional,0.0
2009,All India Forward Bloc (Subhasist),2758.0,0,0.0,Others / Regional,0.0
2009,All India Minorities Front,10211.0,0,0.0,Others / Regional,0.0
2009,All India Momin Conference,2765.0,0,0.0,Others / Regional,0.0
2009,All India Raksha Party,678.0,0,0.0,Others / Regional,0.0
2009,Alpjan Samaj Party,2678.0,0,0.0,Others / Regional,0.0
2009,Ambedkar National Congress,60896.0,0,0.01,Others / Regional,0.0
2009,Ambedkar Pragatisheel Republican Dal,7482.0,0,0.0,Others / Regional,0.0
2009,Ambedkar Samaj Party,42586.0,0,0.01,Others / Regional,0.0
2009,Ambedkarbadi Party,2664.0,0,0.0,Others / Regional,0.0
2009,Ambedkarist Republican Party,6672.0,0,0.0,Others / Regional,0.0
2009,Amra Bangali,45102.0,0,0.01,Others / Regional,0.0
2009,Anaithindia Dravidar Samudaya Munnetra Kazhagam,1189.0,0,0.0,Others / Regional,0.0
2009,Arunachal Congress,46539.0,0,0.01,Others / Regional,0.0
2009,Assam United Democratic Front,2184553.0,1,0.52,Others / Regional,1.92
2009,Autonomous State Demand Committee,123287.0,0,0.03,Others / Regional,0.0
2009,Awami Party,4386.0,0,0.0,Others / Regional,0.0
2009,B.C. United Front,6910.0,0,0.0,Others / Regional,0.0
2009,BJD,6612552.0,14,1.59,Others / Regional,8.81
2009,BJP,78435381.0,116,18.8,NDA,6.17
2009,BPF,656430.0,1,0.16,Others / Regional,6.25
2009,BSP,25728920.0,21,6.17,Others / Regional,3.4
2009,"Backward Classes Democratic Party, J&K",8129.0,0,0.0,Others / Regional,0.0
2009,Bahujan Republican Ekta Manch,42386.0,0,0.01,Others / Regional,0.0
2009,Bahujan Samaj Party(Ambedkar-Phule),10698.0,0,0.0,Others / Regional,0.0
2009,Bahujan Sangharsh Party (Kanshiram),33010.0,0,0.01,Others / Regional,0.0
2009,Bahujan Shakty,18844.0,0,0.0,Others / Regional,0.0
2009,Bahujan Uday Manch,15272.0,0,0.0,Others / Regional,0.0
2009,Bahujan Vikas Aaghadi,223234.0,1,0.05,Others / Regional,20.0
2009,Bahujan Vikas Party,1435.0,0,0.0,Others / Regional,0.0
2009,Bajjikanchal Vikas Party,11097.0,0,0.0,Others / Regional,0.0
2009,Bharat Dal,700.0,0,0.0,Others / Regional,0.0
2009,Bharat Ki Lok Jimmedar Party,790.0,0,0.0,Others / Regional,0.0
2009,Bharat Punarnirman Dal,14974.0,0,0.0,Others / Regional,0.0
2009,Bharat Uday Mission,4210.0,0,0.0,Others / Regional,0.0
2009,Bharat Vikas Morcha,5645.0,0,0.0,Others / Regional,0.0
2009,Bharatheeya Sadharma Samsthapana Party,15718.0,0,0.0,Others / Regional,0.0
2009,Bharathiya Sahayog Congress,4758.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Backward Party,1552.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Bahujan Party,39797.0,0,0.01,Others / Regional,0.0
2009,Bharatiya Eklavya Party,8105.0,0,0.0,Others / Regional,0.0
