Year,State_UT,Party_Alliance,Votes_Received,Vote_Share_Percentage,Seats_Won,Coalition_Block,State_Total_Seats,State_Seat_Share,State_Volatility_Rate
2004,Andhra Pradesh,UPA,0.0,0.0,35,Others / Regional,42,83.33,67.16
2004,Andhra Pradesh,NDA,0.0,0.0,5,Others / Regional,42,11.9,67.16
2004,Andhra Pradesh,Left Front,0.0,0.0,2,Others / Regional,42,4.76,67.16
2004,Andhra Pradesh,Others,0.0,0.0,0,Others / Regional,42,0.0,67.16
2004,Arunachal Pradesh,UPA,0.0,0.0,0,Others / Regional,2,0.0,50.0
2004,Arunachal Pradesh,NDA,0.0,0.0,2,Others / Regional,2,100.0,50.0
2004,Arunachal Pradesh,Left Front,0.0,0.0,0,Others / Regional,2,0.0,50.0
2004,Arunachal Pradesh,Others,0.0,0.0,0,Others / Regional,2,0.0,50.0
2004,Assam,UPA,0.0,0.0,11,Others / Regional,16,68.75,53.57
2004,Assam,NDA,0.0,0.0,3,Others / Regional,16,18.75,53.57
2004,Assam,Left Front,0.0,0.0,0,Others / Regional,16,0.0,53.57
2004,Assam,Others,0.0,0.0,2,Others / Regional,16,12.5,53.57
2004,Bihar,UPA,0.0,0.0,29,Others / Regional,40,72.5,61.88
2004,Bihar,NDA,0.0,0.0,11,Others / Regional,40,27.5,61.88
2004,Bihar,Left Front,0.0,0.0,0,Others / Regional,40,0.0,61.88
2004,Bihar,Others,0.0,0.0,0,Others / Regional,40,0.0,61.88
2004,Chhattisgarh,UPA,0.0,0.0,1,Others / Regional,11,9.09,18.18
2004,Chhattisgarh,NDA,0.0,0.0,10,Others / Regional,11,90.91,18.18
2004,Chhattisgarh,Left Front,0.0,0.0,0,Others / Regional,11,0.0,18.18
2004,Chhattisgarh,Others,0.0,0.0,0,Others / Regional,11,0.0,18.18
2004,Dadra and Nagar Haveli,UPA,0.0,0.0,0,Others / Regional,1,0.0,66.67
2004,Dadra and Nagar Haveli,NDA,0.0,0.0,0,Others / Regional,1,0.0,66.67
2004,Dadra and Nagar Haveli,Left Front,0.0,0.0,0,Others / Regional,1,0.0,66.67
2004,Dadra and Nagar Haveli,Others,0.0,0.0,1,Others / Regional,1,100.0,66.67
2004,Daman and Diu,UPA,0.0,0.0,1,Others / Regional,1,100.0,33.33
2004,Daman and Diu,NDA,0.0,0.0,0,Others / Regional,1,0.0,33.33
2004,Daman and Diu,Left Front,0.0,0.0,0,Others / Regional,1,0.0,33.33
2004,Daman and Diu,Others,0.0,0.0,0,Others / Regional,1,0.0,33.33
2004,Delhi,UPA,0.0,0.0,6,Others / Regional,7,85.71,28.57
2004,Delhi,NDA,0.0,0.0,1,Others / Regional,7,14.29,28.57
2004,Delhi,Left Front,0.0,0.0,0,Others / Regional,7,0.0,28.57
2004,Delhi,Others,0.0,0.0,0,Others / Regional,7,0.0,28.57
2004,Goa,UPA,0.0,0.0,1,Others / Regional,2,50.0,25.0
2004,Goa,NDA,0.0,0.0,1,Others / Regional,2,50.0,25.0
2004,Goa,Left Front,0.0,0.0,0,Others / Regional,2,0.0,25.0
2004,Goa,Others,0.0,0.0,0,Others / Regional,2,0.0,25.0
2004,Gujarat,UPA,0.0,0.0,12,Others / Regional,26,46.15,24.04
2004,Gujarat,NDA,0.0,0.0,14,Others / Regional,26,53.85,24.04
2004,Gujarat,Left Front,0.0,0.0,0,Others / Regional,26,0.0,24.04
2004,Gujarat,Others,0.0,0.0,0,Others / Regional,26,0.0,24.04
2004,Haryana,UPA,0.0,0.0,9,Others / Regional,10,90.0,45.0
2004,Haryana,NDA,0.0,0.0,1,Others / Regional,10,10.0,45.0
2004,Haryana,Left Front,0.0,0.0,0,Others / Regional,10,0.0,45.0
2004,Haryana,Others,0.0,0.0,0,Others / Regional,10,0.0,45.0
2004,Himachal Pradesh,UPA,0.0,0.0,3,Others / Regional,4,75.0,18.75
2004,Himachal Pradesh,NDA,0.0,0.0,1,Others / Regional,4,25.0,18.75
2004,Himachal Pradesh,Left Front,0.0,0.0,0,Others / Regional,4,0.0,18.75
2004,Himachal Pradesh,Others,0.0,0.0,0,Others / Regional,4,0.0,18.75
2004,Jammu and Kashmir,UPA,0.0,0.0,3,Others / Regional,6,50.0,47.83
2004,Jammu and Kashmir,NDA,0.0,0.0,0,Others / Regional,6,0.0,47.83
2004,Jammu and Kashmir,Left Front,0.0,0.0,0,Others / Regional,6,0.0,47.83
2004,Jammu and Kashmir,Others,0.0,0.0,3,Others / Regional,6,50.0,47.83
2004,Jharkhand,UPA,0.0,0.0,12,Others / Regional,14,85.71,44.64
2004,Jharkhand,NDA,0.0,0.0,1,Others / Regional,14,7.14,44.64
2004,Jharkhand,Left Front,0.0,0.0,1,Others / Regional,14,7.14,44.64
2004,Jharkhand,Others,0.0,0.0,0,Others / Regional,14,0.0,44.64
2004,Karnataka,UPA,0.0,0.0,8,Others / Regional,28,28.57,40.18
2004,Karnataka,NDA,0.0,0.0,18,Others / Regional,28,64.29,40.18
2004,Karnataka,Left Front,0.0,0.0,2,Others / Regional,28,7.14,40.18
2004,Karnataka,Others,0.0,0.0,0,Others / Regional,28,0.0,40.18
2004,Kerala,UPA,0.0,0.0,2,Others / Regional,20,10.0,42.5
2004,Kerala,NDA,0.0,0.0,0,Others / Regional,20,0.0,42.5
2004,Kerala,Left Front,0.0,0.0,18,Others / Regional,20,90.0,42.5
2004,Kerala,Others,0.0,0.0,0,Others / Regional,20,0.0,42.5
2004,Madhya Pradesh,UPA,0.0,0.0,4,Others / Regional,29,13.79,20.69
2004,Madhya Pradesh,NDA,0.0,0.0,25,Others / Regional,29,86.21,20.69
2004,Madhya Pradesh,Left Front,0.0,0.0,0,Others / Regional,29,0.0,20.69
2004,Madhya Pradesh,Others,0.0,0.0,0,Others / Regional,29,0.0,20.69
2004,Maharashtra,UPA,0.0,0.0,23,Others / Regional,48,47.92,54.69
2004,Maharashtra,NDA,0.0,0.0,25,Others / Regional,48,52.08,54.69
2004,Maharashtra,Left Front,0.0,0.0,0,Others / Regional,48,0.0,54.69
2004,Maharashtra,Others,0.0,0.0,0,Others / Regional,48,0.0,54.69
2004,Manipur,UPA,0.0,0.0,1,Others / Regional,2,50.0,62.5
2004,Manipur,NDA,0.0,0.0,0,Others / Regional,2,0.0,62.5
2004,Manipur,Left Front,0.0,0.0,0,Others / Regional,2,0.0,62.5
2004,Manipur,Others,0.0,0.0,1,Others / Regional,2,50.0,62.5
2004,Meghalaya,UPA,0.0,0.0,1,Others / Regional,2,50.0,50.0
2004,Meghalaya,NDA,0.0,0.0,1,Others / Regional,2,50.0,50.0
2004,Meghalaya,Left Front,0.0,0.0,0,Others / Regional,2,0.0,50.0
2004,Meghalaya,Others,0.0,0.0,0,Others / Regional,2,0.0,50.0
2004,Mizoram,UPA,0.0,0.0,0,Others / Regional,1,0.0,75.0
2004,Mizoram,NDA,0.0,0.0,1,Others / Regional,1,100.0,75.0
2004,Mizoram,Left Front,0.0,0.0,0,Others / Regional,1,0.0,75.0
2004,Mizoram,Others,0.0,0.0,0,Others / Regional,1,0.0,75.0
2004,Nagaland,UPA,0.0,0.0,0,Others / Regional,1,0.0,50.0
2004,Nagaland,NDA,0.0,0.0,1,Others / Regional,1,100.0,50.0
2004,Nagaland,Left Front,0.0,0.0,0,Others / Regional,1,0.0,50.0
2004,Nagaland,Others,0.0,0.0,0,Others / Regional,1,0.0,50.0
2004,Odisha,UPA,0.0,0.0,3,Others / Regional,21,14.29,44.05
2004,Odisha,NDA,0.0,0.0,18,Others / Regional,21,85.71,44.05
2004,Odisha,Left Front,0.0,0.0,0,Others / Regional,21,0.0,44.05
2004,Odisha,Others,0.0,0.0,0,Others / Regional,21,0.0,44.05
2004,Puducherry,UPA,0.0,0.0,1,Others / Regional,1,100.0,75.0
2004,Puducherry,NDA,0.0,0.0,0,Others / Regional,1,0.0,75.0
2004,Puducherry,Left Front,0.0,0.0,0,Others / Regional,1,0.0,75.0
2004,Puducherry,Others,0.0,0.0,0,Others / Regional,1,0.0,75.0
2004,Punjab,UPA,0.0,0.0,2,Others / Regional,13,15.38,48.08
2004,Punjab,NDA,0.0,0.0,11,Others / Regional,13,84.62,48.08
