Year,State_UT,Party_Alliance,Votes_Received,Vote_Share_Percentage,Seats_Won
2004,Andhra Pradesh,UPA,0.0,0.0,35
2004,Andhra Pradesh,NDA,0.0,0.0,5
2004,Andhra Pradesh,Left Front,0.0,0.0,2
2004,Andhra Pradesh,Others,0.0,0.0,0
2004,Arunachal Pradesh,UPA,0.0,0.0,0
2004,Arunachal Pradesh,NDA,0.0,0.0,2
2004,Arunachal Pradesh,Left Front,0.0,0.0,0
2004,Arunachal Pradesh,Others,0.0,0.0,0
2004,Assam,UPA,0.0,0.0,11
2004,Assam,NDA,0.0,0.0,3
2004,Assam,Left Front,0.0,0.0,0
2004,Assam,Others,0.0,0.0,2
2004,Bihar,UPA,0.0,0.0,29
2004,Bihar,NDA,0.0,0.0,11
2004,Bihar,Left Front,0.0,0.0,0
2004,Bihar,Others,0.0,0.0,0
2004,Chhattisgarh,UPA,0.0,0.0,1
2004,Chhattisgarh,NDA,0.0,0.0,10
2004,Chhattisgarh,Left Front,0.0,0.0,0
2004,Chhattisgarh,Others,0.0,0.0,0
2004,Dadra and Nagar Haveli,UPA,0.0,0.0,0
2004,Dadra and Nagar Haveli,NDA,0.0,0.0,0
2004,Dadra and Nagar Haveli,Left Front,0.0,0.0,0
2004,Dadra and Nagar Haveli,Others,0.0,0.0,1
2004,Daman and Diu,UPA,0.0,0.0,1
2004,Daman and Diu,NDA,0.0,0.0,0
2004,Daman and Diu,Left Front,0.0,0.0,0
2004,Daman and Diu,Others,0.0,0.0,0
2004,Delhi,UPA,0.0,0.0,6
2004,Delhi,NDA,0.0,0.0,1
2004,Delhi,Left Front,0.0,0.0,0
2004,Delhi,Others,0.0,0.0,0
2004,Goa,UPA,0.0,0.0,1
2004,Goa,NDA,0.0,0.0,1
2004,Goa,Left Front,0.0,0.0,0
2004,Goa,Others,0.0,0.0,0
2004,Gujarat,UPA,0.0,0.0,12
2004,Gujarat,NDA,0.0,0.0,14
2004,Gujarat,Left Front,0.0,0.0,0
2004,Gujarat,Others,0.0,0.0,0
2004,Haryana,UPA,0.0,0.0,9
2004,Haryana,NDA,0.0,0.0,1
2004,Haryana,Left Front,0.0,0.0,0
2004,Haryana,Others,0.0,0.0,0
2004,Himachal Pradesh,UPA,0.0,0.0,3
2004,Himachal Pradesh,NDA,0.0,0.0,1
2004,Himachal Pradesh,Left Front,0.0,0.0,0
2004,Himachal Pradesh,Others,0.0,0.0,0
2004,Jammu and Kashmir,UPA,0.0,0.0,3
2004,Jammu and Kashmir,NDA,0.0,0.0,0
2004,Jammu and Kashmir,Left Front,0.0,0.0,0
2004,Jammu and Kashmir,Others,0.0,0.0,3
2004,Jharkhand,UPA,0.0,0.0,12
2004,Jharkhand,NDA,0.0,0.0,1
2004,Jharkhand,Left Front,0.0,0.0,1
2004,Jharkhand,Others,0.0,0.0,0
2004,Karnataka,UPA,0.0,0.0,8
2004,Karnataka,NDA,0.0,0.0,18
2004,Karnataka,Left Front,0.0,0.0,2
2004,Karnataka,Others,0.0,0.0,0
2004,Kerala,UPA,0.0,0.0,2
2004,Kerala,NDA,0.0,0.0,0
2004,Kerala,Left Front,0.0,0.0,18
2004,Kerala,Others,0.0,0.0,0
2004,Madhya Pradesh,UPA,0.0,0.0,4
2004,Madhya Pradesh,NDA,0.0,0.0,25
2004,Madhya Pradesh,Left Front,0.0,0.0,0
2004,Madhya Pradesh,Others,0.0,0.0,0
2004,Maharashtra,UPA,0.0,0.0,23
2004,Maharashtra,NDA,0.0,0.0,25
2004,Maharashtra,Left Front,0.0,0.0,0
2004,Maharashtra,Others,0.0,0.0,0
2004,Manipur,UPA,0.0,0.0,1
2004,Manipur,NDA,0.0,0.0,0
2004,Manipur,Left Front,0.0,0.0,0
2004,Manipur,Others,0.0,0.0,1
2004,Meghalaya,UPA,0.0,0.0,1
2004,Meghalaya,NDA,0.0,0.0,1
2004,Meghalaya,Left Front,0.0,0.0,0
2004,Meghalaya,Others,0.0,0.0,0
2004,Mizoram,UPA,0.0,0.0,0
2004,Mizoram,NDA,0.0,0.0,1
2004,Mizoram,Left Front,0.0,0.0,0
2004,Mizoram,Others,0.0,0.0,0
2004,Nagaland,UPA,0.0,0.0,0
2004,Nagaland,NDA,0.0,0.0,1
2004,Nagaland,Left Front,0.0,0.0,0
2004,Nagaland,Others,0.0,0.0,0
2004,Odisha,UPA,0.0,0.0,3
2004,Odisha,NDA,0.0,0.0,18
2004,Odisha,Left Front,0.0,0.0,0
2004,Odisha,Others,0.0,0.0,0
2004,Puducherry,UPA,0.0,0.0,1
2004,Puducherry,NDA,0.0,0.0,0
2004,Puducherry,Left Front,0.0,0.0,0
2004,Puducherry,Others,0.0,0.0,0
2004,Punjab,UPA,0.0,0.0,2
2004,Punjab,NDA,0.0,0.0,11
2004,Punjab,Left Front,0.0,0.0,0
2004,Punjab,Others,0.0,0.0,0
2004,Rajasthan,UPA,0.0,0.0,4
2004,Rajasthan,NDA,0.0,0.0,21
2004,Rajasthan,Left Front,0.0,0.0,0
2004,Rajasthan,Others,0.0,0.0,0
2004,Sikkim,UPA,0.0,0.0,0
2004,Sikkim,NDA,0.0,0.0,1
2004,Sikkim,Left Front,0.0,0.0,0
2004,Sikkim,Others,0.0,0.0,0
2004,Tamil Nadu,UPA,0.0,0.0,39
2004,Tamil Nadu,NDA,0.0,0.0,0
2004,Tamil Nadu,Left Front,0.0,0.0,0
2004,Tamil Nadu,Others,0.0,0.0,0
2004,Tripura,UPA,0.0,0.0,0
2004,Tripura,NDA,0.0,0.0,0
2004,Tripura,Left Front,0.0,0.0,2
2004,Tripura,Others,0.0,0.0,0
2004,Uttar Pradesh,UPA,0.0,0.0,9
2004,Uttar Pradesh,NDA,0.0,0.0,11
2004,Uttar Pradesh,Left Front,0.0,0.0,0
2004,Uttar Pradesh,Others,0.0,0.0,61
2004,Uttarakhand,UPA,0.0,0.0,1
2004,Uttarakhand,NDA,0.0,0.0,3
2004,Uttarakhand,Left Front,0.0,0.0,0
2004,Uttarakhand,Others,0.0,0.0,1
2004,West Bengal,UPA,0.0,0.0,6
2004,West Bengal,NDA,0.0,0.0,1
2004,West Bengal,Left Front,0.0,0.0,35
2004,West Bengal,Others,0.0,0.0,0
2009,Andaman and Nicobar Islands,BJP,0.0,100.0,1
2009,Andaman and Nicobar Islands,INC,0.0,0.0,0
2009,Andhra Pradesh,INC,0.0,79.0,33
2009,Andhra Pradesh,AIMIM,0.0,2.0,1
2009,Andhra Pradesh,TDP,0.0,14.0,6
2009,Andhra Pradesh,TRS,0.0,5.0,2
2009,Arunachal Pradesh,INC,0.0,100.0,2
2009,Arunachal Pradesh,BJP,0.0,0.0,0
2009,Assam,INC,0.0,50.0,7
2009,Assam,BJP,0.0,29.0,4
2009,Assam,AGP,0.0,7.0,1
2009,Assam,AIUDF,0.0,7.0,1
2009,Assam,BPF,0.0,7.0,1
2009,Bihar,JD(U),0.0,50.0,20
2009,Bihar,BJP,0.0,30.0,12
2009,Bihar,RJD,0.0,10.0,4
2009,Bihar,INC,0.0,5.0,2
2009,Bihar,IND,0.0,5.0,2
2009,Chandigarh,INC,0.0,100.0,1
2009,Chandigarh,BJP,0.0,0.0,0
2009,Chhattisgarh,BJP,0.0,91.0,10
2009,Chhattisgarh,INC,0.0,9.0,1
2009,Dadra and Nagar Haveli,BJP,0.0,100.0,1
2009,Dadra and Nagar Haveli,INC,0.0,0.0,0
2009,Delhi,INC,0.0,100.0,7
2009,Delhi,BJP,0.0,0.0,0
2009,Goa,INC,0.0,50.0,1
2009,Goa,BJP,0.0,50.0,1
2009,Gujarat,BJP,0.0,58.0,15
2009,Gujarat,INC,0.0,42.0,11
2009,Haryana,INC,0.0,90.0,9
2009,Haryana,BJP,0.0,0.0,0
2009,Haryana,Haryana Janhit Congress (Bl),0.0,10.0,1
2009,Himachal Pradesh,BJP,0.0,75.0,3
2009,Himachal Pradesh,INC,0.0,25.0,1
2009,Jammu and Kashmir,JKNC,0.0,50.0,3
2009,Jammu and Kashmir,INC,0.0,33.0,2
2009,Jammu and Kashmir,IND,0.0,33.0,1
2009,Jharkhand,BJP,0.0,57.0,8
2009,Jharkhand,Jharkhand Vikas Morcha (Prajatantrik),0.0,7.0,1
2009,Jharkhand,JMM,0.0,14.0,2
2009,Jharkhand,INC,0.0,7.0,1
2009,Jharkhand,IND,0.0,14.0,2
2009,Karnataka,BJP,0.0,68.0,19
2009,Karnataka,INC,0.0,21.0,6
2009,Karnataka,JD(S),0.0,11.0,3
2009,Kerala,INC,0.0,65.0,13
2009,Kerala,IUML,0.0,10.0,2
2009,Kerala,Kerala Congress (M),0.0,5.0,1
2009,Kerala,CPI(M),0.0,20.0,4
2009,Kerala,1,0.0,0.0,0
2009,Kerala,NCP,0.0,0.0,0
2009,Kerala,JD(U),0.0,0.0,0
2009,Madhya Pradesh,BJP,0.0,0.0,16
2009,Madhya Pradesh,INC,0.0,0.0,12
2009,Madhya Pradesh,BSP,0.0,0.0,1
2009,Maharashtra,INC,0.0,0.0,17
2009,Maharashtra,NCP,0.0,0.0,8
2009,Maharashtra,SS,0.0,0.0,11
2009,Maharashtra,BJP,0.0,0.0,9
2009,Maharashtra,Swabhimani Paksha,0.0,0.0,1
2009,Maharashtra,Bahujan Vikas Aaghadi,0.0,0.0,1
2009,Maharashtra,IND,0.0,0.0,1
2009,Manipur,INC,0.0,0.0,2
2009,Manipur,People'S Democratic Alliance,0.0,0.0,0
2009,Meghalaya,INC,0.0,0.0,1
2009,Meghalaya,NCP,0.0,0.0,1
2009,Mizoram,INC,0.0,0.0,1
2009,Mizoram,Mizo National Front,0.0,0.0,0
2009,Nagaland,Naga People'S Front,0.0,0.0,1
2009,Nagaland,INC,0.0,0.0,0
2009,Odisha,BJD,0.0,0.0,14
2009,Odisha,INC,0.0,0.0,6
2009,Odisha,CPI(M),0.0,0.0,1
2009,Puducherry,INC,0.0,0.0,1
2009,Puducherry,Pattali Makkal Katchi,0.0,0.0,0
2009,Puducherry,AIADMK,0.0,0.0,0
2009,Punjab,INC,0.0,0.0,8
2009,Punjab,SAD,0.0,0.0,4
2009,Punjab,BJP,0.0,0.0,1
2009,Rajasthan,INC,0.0,0.0,20
2009,Rajasthan,BJP,0.0,0.0,4
2009,Rajasthan,IND,0.0,0.0,1
2009,Sikkim,SDF,0.0,0.0,1
2009,Sikkim,INC,0.0,0.0,0
2009,Tamil Nadu,DMK,0.0,0.0,18
2009,Tamil Nadu,AIADMK,0.0,0.0,4
2009,Tamil Nadu,INC,0.0,0.0,1
2009,Tamil Nadu,VCK,0.0,0.0,1
2009,Tamil Nadu,MDMK,0.0,0.0,1
2009,Tamil Nadu,CPI,0.0,0.0,1
2009,Tamil Nadu,CPI(M),0.0,0.0,1
2009,Tripura,CPI(M),0.0,0.0,2
2009,Tripura,INC,0.0,0.0,0
2009,Uttar Pradesh,SP,0.0,0.0,23
2009,Uttar Pradesh,INC,0.0,0.0,21
2009,Uttar Pradesh,BSP,0.0,0.0,20
2009,Uttar Pradesh,BJP,0.0,0.0,10
2009,Uttar Pradesh,RLD,0.0,0.0,1
2009,Uttar Pradesh,IND,0.0,0.0,1
2009,West Bengal,TMC,0.0,0.0,19
2009,West Bengal,CPI(M),0.0,0.0,9
2009,West Bengal,INC,0.0,0.0,6
2009,West Bengal,CPI,0.0,0.0,2
2009,West Bengal,AIFB,0.0,0.0,2
2009,West Bengal,RSP,0.0,0.0,1
2009,West Bengal,BJP,0.0,0.0,1
2009,West Bengal,Socialist Unity Centre Of India (Communist),0.0,0.0,1
2014,Andaman and Nicobar Islands,BJP,0.0,47.8,1
2014,Andaman and Nicobar Islands,INC,0.0,44.8,0
2014,Andhra Pradesh,TDP,0.0,28.1,15
2014,Andhra Pradesh,YSRCP,0.0,28.9,8
2014,Andhra Pradesh,INC,0.0,11.5,0
2014,Andhra Pradesh,BJP,0.0,8.5,2
2014,Arunachal Pradesh,BJP,275344.0,46.62,1
2014,Arunachal Pradesh,INC,246084.0,41.66,1
2014,Assam,BJP,5507152.0,36.5,7
2014,Assam,INC,4467295.0,29.6,3
2014,Assam,AIUDF,2237612.0,14.8,3
2014,Assam,AGP,577730.0,3.8,0
2014,Assam,Independent (Politician),1436900.0,9.62,1
2014,Assam,BPF,330106.0,2.21,0
2014,Bihar,BJP,0.0,29.4,22
2014,Bihar,LJP,0.0,6.4,6
2014,Bihar,RJD,0.0,20.1,4
2014,Bihar,JD(U),0.0,15.8,2
2014,Bihar,Rashtriya Lok Samta Party,0.0,3.0,3
2014,Bihar,NCP,0.0,1.2,1
2014,Bihar,INC,0.0,8.4,2
2014,Bihar,IND,0.0,0.0,0
2014,Chandigarh,BJP,0.0,42.2,1
2014,Chandigarh,INC,0.0,26.8,0
2014,Chandigarh,AAP,0.0,24.0,0
2014,Chhattisgarh,BJP,0.0,48.7,10
2014,Chhattisgarh,INC,0.0,38.4,1
2014,Dadra and Nagar Haveli,BJP,0.0,48.9,1
2014,Dadra and Nagar Haveli,INC,0.0,45.1,0
2014,Daman and Diu,BJP,0.0,53.8,1
2014,Daman and Diu,INC,0.0,43.3,0
2014,Delhi,BJP,0.0,46.4,7
2014,Delhi,INC,0.0,15.1,0
2014,Delhi,AAP,0.0,34.9,0
2014,Goa,BJP,0.0,53.400000000000006,2
2014,Goa,INC,0.0,36.6,0
2014,Gujarat,BJP,0.0,60.11,26
2014,Gujarat,INC,0.0,33.45,0
2014,Haryana,BJP,0.0,34.7,7
2014,Haryana,INC,0.0,22.9,1
2014,Haryana,Indian National Lok Dal,0.0,24.4,2
