,tweet,target
0,ndtv anchor let go over to aap live press conference the next thing you see sanjayazadsln bashing bjp with modiadanibhaibhai probably an awkward moment for everyone in the ndtv news room ca even stop the live stream midway manishsisodia bjp aap,0
1,sambit patra attacks rahul gandhi over his cowardice remark watch video sambitpatra rahulgandhi china newsupdate bjp congress,0
2,crediting the bjp with taking development to smaller cities and towns pmmodi said the speed of growth has increased under the double engine govt he said shivamoggaairport had been inaugurated at a time when the number of air travellers was rising,1
3,ktrbrs do do false allegations on iasassociation use smart ass kapilsibal pbhushan1 if burns so much go to court fear of losing power why on social media what proof do you have do jump too much you are not clean regards to haram earnings sanggitat ushanirmala bjp,0
4,gujarat assembly yet to get rs cr as gst compensation says minister arjunmodhwadia bjp congress gst gstcompensation gujarat gujaratassembly narendramodi rbi,1
5,bjp guna mp yadav pulled up over laxmi bai swipe at union minister jyotiradityascindia family read,1
6,bjp holds protest against pulwama killing,0
7,bjp has created worldrecord in misusing central agencies like no other democratically elected in any part of the world g20india g20 democracy cbi,1
8,full video here manishsisodiaarrested manishsisodia prayagraj modihaitomumkinhai modi souravganguly electionresults electionresults2023 kejriwal kejriwalexposed delhiliquorscam aap bjp liquorscam tajinderbagga smritiirani,1
9,pm modi holds massive in karnataka narendramodi karnataka belagavi bjp bengaluru karnatakaelection2023,1
10,happy birthday shivamogga bsybjp kicchasudeep kicchasudeep𓃵 shivamoggaairport bjp,1
11,annamalai bjp bjpfails bjp4india gayathriraghuram pmmodi electionresults electionresults2023 erodeeastbyelection erode epfo prayagraj congressvoiceofindia congress rahulgandhi modi ammk dmdk kamalhaasan pass it,1
12,msisodia are you a part of rumourmongeringgroupofaap have you not heard that he has been jailed for misdeeds he has committed as exciseminister a educationminister has nothing to do with liquorpolicy manishsisodiaarrested manishsisodiachorhai delhiliquorscam bjp,0
13,when party gets nothing in delhi legislative assembly then only way to create a supremacy is to take down by using central power aap bjp arvindkejriwal aajtak freespeech delhiliquorscam waiting for the right decision,1
14,arrest of manish sisodia massive protest outside bjp office jammu manishsisodiaarrested manishsisodia jammu bjp bjp4jnk msisodia,0
15,me ed and cbi will arrest modi shah and adani within 2 hours aap sanjay singh lashes out at bjp over manish sisodia arrest,0
16,httweets bjp is also playing with the lives of hindus of jammu and kashmir from last 9 years your take on this sir,1
17,the illusion of normalcy in kashmir unveiling the indian government s settler agenda kashmir iiojk india modigovt agenda bjp,1
18,lol this is funny raga bjp cong congressvoiceofindia,1
19,let us not break society with such kinds of petitions please have the country in mind not any religion justice nagarathna tells upadhyay india supremecourtofindia modiji bjp congressvoiceofindia rahulgandhi,0
20,watch cbi brought delhi deputy cm manish sisodia to rouse avenue court bjp aap bjp4india bjp4jnk adityarajkaul imravinderraina narendramodi mehboobamufti,1
21,bjp4tamilnadu bjp4india khushsundar if she really wants to fight for women right she has to first fight perverted bjp rss and affiliated fascist organizations throughout india,0
22,mehboobp1 bjp was looting and putting in adanis pockets but aap was also seem to be looting delhi,1
23,amitranabjp do you think bjp4india is clean why can not you give free hand to cbi then you can see how many bjp people are behind the bar,1
24,uppolice umeshpal atiqahmad prayagraj encounter uppolice arbaaz yogiadityanath akhileshyadav bjp samajwadiparty breakingnews,1
25,the arrest of delhi dy cm manishsisodia by cbi is another example of how bjp misuses the union government agencies to intimidate the opposition it a blatant abuse of power amp an attack on democracy tweets kerala cm pinarayi vijayan ani,0
26,the arrest of delhi deputy chief minister manish sisodia triggered massive political outrage in the national capital as aap called it a political vendetta and vowed to launch nationwide protests against bjp manishsisodia arvindkejriwal bjp aap party,0
27,bjp clean sweeps egranaskarpur cooperative elections in purbamedinipur westbengal bjp won 9 seats while tmc 0,1
28,wish you happy birthday bsyadiyurappa bjpgovernment bjp bjpkarnataka modi modiji narendramodiji bjpgovt mp election politician cheifminister primeminister indiancelebrity celebrity bluecrystals gifts birthday birthdaygifts,1
29,bjp leader and khushbusundar has been nominated as a member of the national commission for women ncw,1
30,if you pick up 1successful initiative out of modi ji govt then it alone stand still with bjp 2defend thousands of allegations of all oppositions in our india modi 9yrs regime vs 67yrs other is like hell amp focus on ekbharat shresthbharat,0
31,verbally and u call it evidence seriously what if one says someone from bjp verbal directed to do so and so will the judiciary believe it let see whether the judiciary takes this kind of arguments,0
32,me ed and cbi will arrest modi shah and adani within 2 hours aap sanjay singh lashes out at bjp over manish sisodia arrest,0
33,investors short selling on stocks is not a scam its the part of trading probably whosoever is trending adaniscam has never traded in life the truth is biggest problem of inc right now is that bjp is doing any corruption which can be proved in courts,1
34,fir on comment on pm sc extends bail to congress spokesperson pawan khera till friday fir pm modi narendramodi pawaankhera congress bjp,1
35,govt is just diverting focus from adani issue by arresting sisodia sisodiaarrest aap bjp congress ndtv media government cbi ed,1
36,are you a part of rumourmongeringgroupofaap have you not heard that he has been jailed for misdeeds he has committed as exciseminister a educationminister has nothing to do with liquorpolicy manishsisodiaarrested manishsisodiachorhai delhiliquorscam bjp sanjayazadsln,0
37,ashokepandit hmm why are u peeting ur chhati on murder of kashmiripandits when you yourself are part of propaganda of bjp,0
38,bjp former union minister umabharti on monday welcomed madhya pradesh cm shivrajsinghchouhan at her official residence bharti welcomed shivraj by offering flowers and applying on his forehead,1
39,world powers have to check the indian fascist designs under the bjp rule which may engulf the complete southasian region in a state of war operationswiftretort balakot pakistanzindabad,0
40,vote for bjp to ensure unstoppable growth and development in the northeast states choose modi for peace and development and vote for the bjp for doubleengine govt arvinddamani,1
41,the petition had also sought the archaeological survey of india to be directed to prepare a list of such names under the citizens right to know of the constitution bjp,1
42,vote for bjp to ensure unstoppable growth and development in the northeast states choose modi for peace and development and vote for the bjp for doubleengine govt,1
43,signs of emergency says aap as it claims 80 of its leaders arrested since sunday aamaadmiparty aap bhopal bjp cbi chandigarh delhi delhiliquorscam delhiliquorscam,0
44,telangana is certainly a state where bjp can come to power in the coming assembly elections some hard work is required,1
45,pmoindia narendramodi give me a chance i just wanted to meet you can we narendramodi pmoindia bjp4ind bjp,1
46,its for everyone leave hate against everyone live peacefully political party congress bjp etc are same so focus on you education job and leave peaceful life jai shree ram india bjp congress protest electionresults2023 electionresults protest,1
47,secretary namrata ulman and members of the goa legislators forum vm salgaonkar came out on top to take the trophy home followed by dmc mapusa as the 1st runner up and xaviersgoa mapusa as the 2nd runner up joshuadesouza strongermapusa bjp india,1
48,himachal govt stops probe into illegalconstruction at cm s residence oakover during bjp tenure himachalpradesh himachalnews bjp bjp4himachal government read full story via thenewsradar1,0
49,himachal govt stops probe into illegalconstruction at cm s residence oakover during bjp tenure himachalpradesh himachalnews bjp bjp4himachal government read full story via the newz radar,0
50,wishing our daring and prominent leader of our karnataka bs yediyurappa a very happy birthday karnataka yediyurappa yediyurappabirthday bjp bjpleader excm cmofkarnataka cm surutv sirimusic srhitechvision,1
51,india yogiadityanath narendramodi bjp bjp4india lovejihad vs reverselovejihad love jihad is invalid and reverse love jihad is valid if there is going to be a law for love jihad in the future then there should be a law for reverse love jihad also,1
52,delhi cm arvindkejriwal asserted that most cbi officials had been against arresting his deputy the remarks were dismissed the bjp which accused the aam aadmi party chief of fabricating information,1
53,wishing our daring and prominent leader of our karnataka bs yediyurappa a very happy birthday karnataka yediyurappa yediyurappabirthday bjp bjpleader excm cmofkarnataka cm surutv sirimusic srhitechvision,1
54,clean sweeps egranaskarpurcooperativeelections in purba medinipur westbengal bjp won 9 seats while tmc 0,1
55,middaynews maha byelection case against bjp candidate rasane for violating poll code mahabyecletion maharashtraelection bjp polls newsupdate maharashtra maharashtranews,0
