State,Parliamentary Constituency,,,Winner,,,,Runner-up,,,,Margin
,No.,Name,Type,Candidate,Party,,Votes,Candidate,Party,,Votes,
Andaman and Nicobar Islands,1,Andaman & Nicobar Islands,GEN,Manoranjan Bhakta,,Indian National Congress,"85,794",Bishnu Pada Ray,,Bharatiya Janata Party,"55,294","30,500"
Andhra Pradesh,1,Srikakulam,GEN,Kinjarapu Yerran Naidu,,Telugu Desam Party,"3,61,906",Killi Krupa Rani,,Indian National Congress,"3,30,027","31,879"
,2,Parvathipuram,(ST),Kishore Chandra Deo,,Indian National Congress,"3,21,788",Veera Gouri Sankara Rao,,Telugu Desam Party,"3,14,370","7,418"
,3,Bobbili,GEN,Kondapalli Pydithalli Naidu,,Telugu Desam Party,"3,73,922",Jhansi Laxmi Botcha,,Indian National Congress,"3,42,574","31,348"
,4,Visakhapatnam,GEN,Nedurumalli Janardhana Reddy,,Indian National Congress,"5,24,122",M. V. V. S. Murthi,,Telugu Desam Party,"3,93,551","1,30,571"
,5,Bhadrachalam,(ST),Midiyam Babu Rao,,Communist Party of India (Marxist),"3,73,148",KPRK Phaneeswaramma,,Telugu Desam Party,"3,19,342","53,806"
,6,Anakapalli,GEN,Pappala Chalapathirao,,Telugu Desam Party,"3,85,406",Nanda Gopal Gandham,,Indian National Congress,"3,69,992","15,414"
,7,Kakinada,GEN,Mallipudi Mangapati Pallam Raju,,Indian National Congress,"4,10,982",Mudragada Padmanabham,,Telugu Desam Party,"3,53,730","57,252"
,8,Rajahmundry,GEN,Vundavalli Aruna Kumar,,Indian National Congress,"4,13,927",Kantipudi Sarvarayudu,,Bharatiya Janata Party,"2,65,107","1,48,820"
,9,Amalapuram,(SC),G. V. Harsha Kumar,,Indian National Congress,"3,50,346",Dunna Janardhana Rao,,Telugu Desam Party,"3,08,861","41,485"
,10,Narasapur,GEN,Chegondi Venkata Harirama Jogaiah,,Indian National Congress,"4,02,761",U. V. Krishnam Raju,,Bharatiya Janata Party,"3,38,349","64,412"
,11,Eluru,GEN,Kavuri Samba Siva Rao,,Indian National Congress,"4,99,191",Bolla Bulli Ramaiah,,Telugu Desam Party,"3,75,900","1,23,291"
,12,Machilipatnam,GEN,Badiga Ramakrishna,,Indian National Congress,"3,87,127",Ambati Brahmanaiah,,Telugu Desam Party,"3,36,786","50,341"
,13,Vijayawada,GEN,Lagadapati Rajagopal,,Indian National Congress,"5,19,624",Chalasani Ashwini Dutt,,Telugu Desam Party,"4,05,037","1,14,587"
,14,Tenali,GEN,Vallabhaneni Balasouri,,Indian National Congress,"3,66,843",Ummareddy Venkateswarlu,,Telugu Desam Party,"2,88,287","78,556"
,15,Guntur,GEN,Rayapati Sambasiva Rao,,Indian National Congress,"4,66,221",Yemparala Venkateswara Rao,,Telugu Desam Party,"3,36,429","1,29,792"
,16,Bapatla,GEN,Daggubati Purandeswari,,Indian National Congress,"4,11,099",Daggubati Ramanaidu,,Telugu Desam Party,"3,17,017","94,082"
,17,Narasaraopet,GEN,Mekapati Rajamohan Reddy,,Indian National Congress,"4,81,310",Maddi Lakshmaiah,,Telugu Desam Party,"3,95,055","86,255"
,18,Ongole,GEN,Magunta Sreenivasulu Reddy,,Indian National Congress,"4,46,584",Bathula Vijaya Bharathi,,Telugu Desam Party,"3,40,563","1,06,021"
,19,Nellore,(SC),Panabaka Lakshmi,,Indian National Congress,"4,50,129",Balakondaiah Karupotala,,Bharatiya Janata Party,"3,21,905","1,28,224"
,20,Tirupathi,(SC),Chinta Mohan,,Indian National Congress,"5,10,961",Nandipaku Venkataswamy,,Bharatiya Janata Party,"3,11,633","1,99,328"
,21,Chittoor,GEN,D. K. Adikesavulu Naidu,,Telugu Desam Party,"4,54,128",Ravuri Venkata Swamy,,Indian National Congress,"3,91,990","62,138"
,22,Rajampet,GEN,Sai Prathap Annayyagari,,Indian National Congress,"3,69,797",Gunipati Ramaiah,,Telugu Desam Party,"2,91,712","78,085"
,23,Cuddapah,GEN,Y. S. Vivekananda Reddy,,Indian National Congress,"4,61,431",M. V. Mysura Reddy,,Telugu Desam Party,"3,29,757","1,31,674"
,24,Hindupur,GEN,G. Nizamuddin,,Indian National Congress,"4,19,744",B K Parthasarathi,,Telugu Desam Party,"4,17,904","1,840"
,25,Anantapur,GEN,Anantha Venkatarami Reddy,,Indian National Congress,"4,58,925",Kalava Srinivasulu,,Telugu Desam Party,"3,85,521","73,404"
,26,Kurnool,GEN,Kotla Jayasurya Prakasha Reddy,,Indian National Congress,"4,33,529",K. E. Krishnamurthy,,Telugu Desam Party,"3,32,431","1,01,098"
,27,Nandyal,GEN,S. P. Y. Reddy,,Indian National Congress,"4,58,526",Bhuma Shobha Nagi Reddy,,Telugu Desam Party,"3,46,847","1,11,679"
,28,Nagarkurnool,(SC),Manda Jagannath,,Telugu Desam Party,"4,05,046",K.S.Ratnam,,Independent,"3,05,396","99,650"
,29,Mahabubnagar,GEN,Devarakonda Vittal Rao,,Indian National Congress,"4,28,764",Yelkoti Yella Reddy,,Telugu Desam Party,"3,80,857","47,907"
