State,Parliamentary Constituency,,Winner,,,,,Runner-up,,,,,Margin
,No.,Name,Candidate,Party,,%,Votes,Candidate,Party,,Votes,%,Votes
Andaman and Nicobar Islands,1,Andaman & Nicobar Islands,Bishnu Pada Ray,,BJP,50.6,"1,02,436",Kuldeep Rai Sharma,,INC,78040,38.5,24396
Andhra Pradesh,1,Araku,Gumma Thanuja Rani,,YSRCP,40.96,"4,77,005",Kothapalli Geetha,,BJP,"4,26,425",36.62,50580
,2,Srikakulam,Kinjarapu Ram Mohan Naidu,,TDP,61.05,"7,54,328",Perada Tilak,,YSRCP,"4,26,427",34.51,"3,27,901"
,3,Vizianagaram,Appalanaidu Kalisetti,,TDP,57.2,"7,43,113",Bellana Chandra Sekhar,,YSRCP,"4,93,762",38,"2,49,351"
,4,Visakhapatnam,Mathukumilli Bharat,,TDP,65.42,"9,07,467",Botsa Jhansi Lakshmi,,YSRCP,"4,03,220",29.07,"5,04,247"
,5,Anakapalli,C. M. Ramesh,,BJP,57.5,"7,62,069",Budi Mutyala Naidu,,YSRCP,"4,65,539",35.13,"2,96,530"
,6,Kakinada,Tangella Uday Srinivas,,JSP,54.87,"7,29,699",Chalamalasetti Sunil,,YSRCP,"5,00,208",37.62,"2,29,491"
,7,Amalapuram,Ganti Harish Madhur,,TDP,61.25,"7,96,981",Rapaka Vara Prasada Rao,,YSRCP,"4,54,785",34.95,"3,42,196"
,8,Rajahmundry,Daggubati Purandeswari,,BJP,54.82,"7,26,515",Guduri Srinivas,,YSRCP,"4,87,376",36.77,"2,39,139"
,9,Narasapuram,Bhupathi Raju Srinivasa Varma,,BJP,57.46,"7,07,343",Guduri Umabala,,YSRCP,"4,30,541",34.98,"2,76,802"
,10,Eluru,Putta Mahesh Yadav,,TDP,54,"7,46,351",Karumuri Sunilkumar Yadav,,YSRCP,"5,64,494",40.84,"1,81,857"
,11,Machilipatnam,Vallabhaneni Balashowry,,JSP,55.22,"7,24,439",Simhadri Chandrasekhar Rao,,YSRCP,"5,01,260",38.21,"2,23,179"
,12,Vijayawada,Kesineni Sivanath,,TDP,58.21,"7,94,154",Kesineni Srinivas,,YSRCP,"5,12,069",37.53,"2,82,085"
,13,Guntur,Chandra Sekhar Pemmasani,,TDP,60.68,"8,64,948",Kilari Venkata Rosaiah,,YSRCP,"5,20,253",36.5,"3,44,695"
,14,Narasaraopet,Lavu Sri Krishna Devarayalu,,TDP,53.88,"8,07,996",Poluboina Anilkumar Yadav,,YSRCP,"6,48,267",43.23,"1,59,729"
,15,Bapatla,Krishna Prasad Tenneti,,TDP,55.16,"7,17,493",Nandigam Suresh,,YSRCP,"5,09,462",39.17,"2,08,031"
,16,Ongole,Magunta Sreenivasulu Reddy,,TDP,49.35,"7,01,894",Chevireddy Bhaskar Reddy,,YSRCP,"6,51,695",45.82,50199
,17,Nandyal,Byreddy Shabari,,TDP,49.92,"7,01,131",Pocha Brahmananda Reddy,,YSRCP,"5,89,156",41.95,"1,11,975"
,18,Kurnool,Bastipati Nagaraju Panchalingala,,TDP,49.51,"6,58,914",B. Y. Ramaiah,,YSRCP,"5,47,616",41.15,"1,11,298"
,19,Anantapur,Ambica G Lakshminarayana Valmiki,,TDP,53.33,"7,68,245",Malagundla Sankaranarayana,,YSRCP,"5,79,690",40.24,"1,88,555"
,20,Hindupur,B. K. Parthasarathi,,TDP,51.23,"7,25,534",J. Shantha,,YSRCP,"5,93,107",41.88,"1,32,427"
,21,Kadapa,Y. S. Avinash Reddy,,YSRCP,45.78,"6,05,143",Chadipiralla Bhupesh Reddy,,TDP,"5,42,448",41.03,62995
,22,Nellore,Vemireddy Prabhakar Reddy,,TDP,55.7,"7,66,202",V. Vijaysai Reddy,,YSRCP,"5,20,300",37.82,"2,45,902"
,23,Tirupati,Maddila Gurumoorthy,,YSRCP,46,"6,32,228",Velagapalli Varaprasad Rao,,BJP,"6,17,659",44.67,14569
,24,Rajampet,P. V. Midhun Reddy,,YSRCP,48.38,"6,44,844",Kiran Kumar Reddy,,BJP,"5,68,773",42.67,76071
,25,Chittoor,Daggumalla Prasada Rao,,TDP,54.84,"7,78,071",N. Reddeppa,,YSRCP,"5,57,592",39.3,"2,20,479"
Arunachal Pradesh,1,Arunachal West,Kiren Rijiju,,BJP,51.4,"2,05,417",Nabam Tuki,,INC,"1,04,679",26.2,100738
,2,Arunachal East,Tapir Gao,,BJP,45,"1,45,581",Bosiram Siram,,INC,"1,15,160",35.6,30421
Assam,1,Kokrajhar,Joyanta Basumatary,,UPPL,39.4,"4,88,995",Kampa Borgoyari,,BPF,"4,37,412",35.2,51583
