Year,State,Constituency_No,Constituency_Name,Constituency_Type,Winner_Candidate,Winner_Party,Winner_Votes,Winner_Percentage,Runner_up_Candidate,Runner_up_Party,Runner_up_Votes,Runner_up_Percentage,Margin_Votes
2004,Andaman and Nicobar Islands,1,Andaman And Nicobar Islands,GEN,Manoranjan Bhakta,INC,85794,,Bishnu Pada Ray,BJP,55294,,30500
2004,Andhra Pradesh,1,Srikakulam,GEN,Kinjarapu Yerran Naidu,TDP,361906,,Killi Krupa Rani,INC,330027,,31879
2004,Andhra Pradesh,2,Parvathipuram,ST,Kishore Chandra Deo,INC,321788,,Veera Gouri Sankara Rao,TDP,314370,,7418
2004,Andhra Pradesh,3,Bobbili,GEN,Kondapalli Pydithalli Naidu,TDP,373922,,Jhansi Laxmi Botcha,INC,342574,,31348
2004,Andhra Pradesh,4,Visakhapatnam,GEN,Nedurumalli Janardhana Reddy,INC,524122,,M. V. V. S. Murthi,TDP,393551,,130571
2004,Andhra Pradesh,5,Bhadrachalam,ST,Midiyam Babu Rao,CPI(M),373148,,KPRK Phaneeswaramma,TDP,319342,,53806
2004,Andhra Pradesh,6,Anakapalli,GEN,Pappala Chalapathirao,TDP,385406,,Nanda Gopal Gandham,INC,369992,,15414
2004,Andhra Pradesh,7,Kakinada,GEN,Mallipudi Mangapati Pallam Raju,INC,410982,,Mudragada Padmanabham,TDP,353730,,57252
2004,Andhra Pradesh,8,Rajahmundry,GEN,Vundavalli Aruna Kumar,INC,413927,,Kantipudi Sarvarayudu,BJP,265107,,148820
2004,Andhra Pradesh,9,Amalapuram,SC,G. V. Harsha Kumar,INC,350346,,Dunna Janardhana Rao,TDP,308861,,41485
2004,Andhra Pradesh,10,Narasapur,GEN,Chegondi Venkata Harirama Jogaiah,INC,402761,,U. V. Krishnam Raju,BJP,338349,,64412
2004,Andhra Pradesh,11,Eluru,GEN,Kavuri Samba Siva Rao,INC,499191,,Bolla Bulli Ramaiah,TDP,375900,,123291
2004,Andhra Pradesh,12,Machilipatnam,GEN,Badiga Ramakrishna,INC,387127,,Ambati Brahmanaiah,TDP,336786,,50341
2004,Andhra Pradesh,13,Vijayawada,GEN,Lagadapati Rajagopal,INC,519624,,Chalasani Ashwini Dutt,TDP,405037,,114587
2004,Andhra Pradesh,14,Tenali,GEN,Vallabhaneni Balasouri,INC,366843,,Ummareddy Venkateswarlu,TDP,288287,,78556
2004,Andhra Pradesh,15,Guntur,GEN,Rayapati Sambasiva Rao,INC,466221,,Yemparala Venkateswara Rao,TDP,336429,,129792
2004,Andhra Pradesh,16,Bapatla,GEN,Daggubati Purandeswari,INC,411099,,Daggubati Ramanaidu,TDP,317017,,94082
2004,Andhra Pradesh,17,Narasaraopet,GEN,Mekapati Rajamohan Reddy,INC,481310,,Maddi Lakshmaiah,TDP,395055,,86255
2004,Andhra Pradesh,18,Ongole,GEN,Magunta Sreenivasulu Reddy,INC,446584,,Bathula Vijaya Bharathi,TDP,340563,,106021
2004,Andhra Pradesh,19,Nellore,SC,Panabaka Lakshmi,INC,450129,,Balakondaiah Karupotala,BJP,321905,,128224
2004,Andhra Pradesh,20,Tirupathi,SC,Chinta Mohan,INC,510961,,Nandipaku Venkataswamy,BJP,311633,,199328
2004,Andhra Pradesh,21,Chittoor,GEN,D. K. Adikesavulu Naidu,TDP,454128,,Ravuri Venkata Swamy,INC,391990,,62138
2004,Andhra Pradesh,22,Rajampet,GEN,Sai Prathap Annayyagari,INC,369797,,Gunipati Ramaiah,TDP,291712,,78085
2004,Andhra Pradesh,23,Cuddapah,GEN,Y. S. Vivekananda Reddy,INC,461431,,M. V. Mysura Reddy,TDP,329757,,131674
2004,Andhra Pradesh,24,Hindupur,GEN,G. Nizamuddin,INC,419744,,B K Parthasarathi,TDP,417904,,1840
2004,Andhra Pradesh,25,Anantapur,GEN,Anantha Venkatarami Reddy,INC,458925,,Kalava Srinivasulu,TDP,385521,,73404
2004,Andhra Pradesh,26,Kurnool,GEN,Kotla Jayasurya Prakasha Reddy,INC,433529,,K. E. Krishnamurthy,TDP,332431,,101098
2004,Andhra Pradesh,27,Nandyal,GEN,S. P. Y. Reddy,INC,458526,,Bhuma Shobha Nagi Reddy,TDP,346847,,111679
2004,Andhra Pradesh,28,Nagarkurnool,SC,Manda Jagannath,TDP,405046,,K.S.Ratnam,IND,305396,,99650
2004,Andhra Pradesh,29,Mahabubnagar,GEN,Devarakonda Vittal Rao,INC,428764,,Yelkoti Yella Reddy,TDP,380857,,47907
2004,Andhra Pradesh,30,Hyderabad,GEN,Asaduddin Owaisi,AIMIM,378854,,G Subash Chanderji,BJP,278709,,100145
2004,Andhra Pradesh,31,Secunderabad,GEN,Anjan Kumar Yadav,INC,485710,,Bandaru Dattatreya,BJP,416952,,68758
2004,Andhra Pradesh,32,Siddipet,SC,Sarvey Satyanarayana,INC,593879,,K Lingaiah,TDP,454907,,138972
2004,Andhra Pradesh,33,Medak,GEN,A. Narendra,TRS,453738,,P Ramachandra Reddy,BJP,329972,,123766
2004,Andhra Pradesh,34,Nizamabad,GEN,Madhu Goud Yaskhi,INC,442142,,Syed Yousuf Ali,TDP,304271,,137871
2004,Andhra Pradesh,35,Adilabad,GEN,Madhusudhan Reddy Takkala,TRS,415429,,Samudrala Venugopal Chary,TDP,374455,,40974
2004,Andhra Pradesh,36,Peddapalli,SC,Gaddam Venkatswamy,INC,572207,,C Suguna Kumari,TDP,309072,,263135
2004,Andhra Pradesh,37,Karimnagar,GEN,K. Chandrashekar Rao,TRS,451199,,Chennamaneni Vidyasagar Rao,BJP,320031,,131168
2004,Andhra Pradesh,38,Hanamkonda,GEN,Boianapalli Vinod Kumar,TRS,496048,,Chada Suresh Reddy,TDP,278981,,217067
2004,Andhra Pradesh,39,Warangal,GEN,Dharavath Ravinder Naik,TRS,427601,,Bodakunti Venkateshwarlu,TDP,408339,,19262
2004,Andhra Pradesh,40,Khammam,GEN,Renuka Chowdhury,INC,518047,,Nama Nageswara Rao,TDP,409159,,108888
2004,Andhra Pradesh,41,Nalgonda,GEN,Suravaram Sudhakar Reddy,CPI,479511,,Nallu Indrasena Reddy,BJP,423360,,56151
2004,Andhra Pradesh,42,Miryalguda,GEN,Jaipal Reddy,INC,572169,,Vangala Swamy Goud,TDP,355262,,216907
2004,Arunachal Pradesh,1,Arunachal West,GEN,Kiren Rijiju,BJP,123951,,Kamen Ringu,Arunachal Congress,76527,,47424
2004,Arunachal Pradesh,2,Arunachal East,GEN,Tapir Gao,BJP,83335,,Wangcha Rajkumar,INC,38341,,44994
2004,Assam,1,Karimganj,SC,Lalit Mohan Suklabaidya,INC,321059,,Parimal Suklabaidya,BJP,229111,,91948
2004,Assam,2,Silchar,GEN,Santosh Mohan Dev,INC,246215,,Kabindra Purkayastha,BJP,224895,,21320
2004,Assam,3,Autonomous District,ST,Biren Sing Engti,INC,125937,,Elwin Teron,Autonomous State Demand Committee,101808,,24129
2004,Assam,4,Dhubri,GEN,Anwar Hussain,INC,376588,,Afzalur Rahman,AGP,259966,,116622
2004,Assam,5,Kokrajhar,ST,Sansuma Khunggur Bwiswmuthiary,IND,689620,,Sabda Ram Rabha,IND,205491,,484129
2004,Assam,6,Barpeta,GEN,A. F. Golam Osmani,INC,266972,,Kumar Deepak Das,AGP,198847,,68125
2004,Assam,7,Guwahati,GEN,Kirip Chaliha,INC,353250,,Bhupen Hazarika,BJP,292099,,61151
2004,Assam,8,Mangaldoi,GEN,Narayan Chandra Borkataky,BJP,345863,,Madhab Rajbangshi,INC,315997,,29866
2004,Assam,9,Tezpur,GEN,Moni Kumar Subba,INC,289847,,Padma Hazarika,AGP,219402,,70445
2004,Assam,10,Nagaon,GEN,Rajen Gohain,BJP,342704,,Bisnu Prasad,INC,311292,,31412
2004,Assam,11,Kaliabor,GEN,Dip Gogoi,INC,301893,,Keshab Mahanta,AGP,234695,,67198
2004,Assam,12,Jorhat,GEN,Bijoy Krishna Handique,INC,223624,,Drupad Borgohain,CPI,172332,,51292
2004,Assam,13,Dibrugarh,GEN,Sarbananda Sonowal,AGP,220944,,Kamakhya Prasad Tasa,BJP,202390,,18554
