2004,,,,,,
Party,Votes,%,Seats,,,
Indian National Congress,103408949,26.53,145,,,
Bharatiya Janata Party,86371561,22.16,138,,,
Communist Party of India (Marxist),22070614,5.66,43,,,
Bahujan Samaj Party,20765229,5.33,19,,,
Samajwadi Party,16824072,4.32,36,,,
Telugu Desam Party,11844811,3.04,5,,,
Rashtriya Janata Dal,9384147,2.41,24,,,
Janata Dal (United),9144963,2.35,8,,,
All India Anna Dravida Munnetra Kazhagam,8547014,2.19,0,,,
Trinamool Congress,8071867,2.07,2,,,
Dravida Munnetra Kazhagam,7064393,1.81,16,,,
Shiv Sena,7056255,1.81,12,,,
Nationalist Congress Party,7023175,1.8,9,,,
Janata Dal (Secular),5732296,1.47,3,,,
Communist Party of India,5484111,1.41,10,,,
Biju Janata Dal,5082849,1.3,11,,,
Shiromani Akali Dal,3506681,0.9,8,,,
Lok Janshakti Party,2771427,0.71,4,,,
Rashtriya Lok Dal,2463607,0.63,3,,,
Telangana Rashtra Samithi,2441405,0.63,5,,,
Pattali Makkal Katchi,2169020,0.56,6,,,
Asom Gana Parishad,2069600,0.53,2,,,
Indian National Lok Dal,1936703,0.5,0,,,
Jharkhand Mukti Morcha,1846843,0.47,5,,,
Revolutionary Socialist Party,1689794,0.43,3,,,
Marumalarchi Dravida Munnetra Kazhagam,1679870,0.43,4,,,
All India Forward Bloc,1365055,0.35,3,,,
Communist Party of India (Marxist–Leninist) Liberati,1281688,0.33,0,,,
Apna Dal,844053,0.22,0,,,
Indian Union Muslim League,770098,0.2,1,,,
Gondwana Ganatantra Party,720189,0.18,0,,,
Naga People's Front,715366,0.18,1,,,
Janata Party,517683,0.13,0,,,
Haryana Vikas Party,506122,0.13,0,,,
Jammu & Kashmir National Conference,493067,0.13,2,,,
Bharipa Bahujan Mahasangh,428566,0.11,0,,,
All India Majlis-e-Ittehadul Muslimeen,417248,0.11,1,,,
Shiromani Akali Dal (Simranjit Singh Mann),387682,0.1,0,,,
Republican Party of India (Athawale),367510,0.09,1,,,
National Loktantrik Party,367049,0.09,1,,,
Kerala Congress,353905,0.09,1,,,
Kannada Nadu Party,349183,0.09,0,,,
Samajwadi Janata Party (Rashtriya),337386,0.09,1,,,
Peasants and Workers Party of India,319572,0.08,0,,,
Republican Party of India,295545,0.08,0,,,
Suheldev Bharatiya Samaj Party,275267,0.07,0,,,
PDP(in Kashmir),267457,0.07,1,,,
Peoples Republican Party,261219,0.07,0,,,
Indian Federal Democratic Party,256411,0.07,1,,,
Kerala Congress (M),209880,0.05,0,,,
Rashtriya Samanta Dal,209694,0.05,0,,,
Samta Party,201276,0.05,0,,,
Lok Bhalai Party,187787,0.05,0,,,
Mizo National Front,182864,0.05,1,,,
Bharatiya Navshakti Party,171080,0.04,1,,,
All Jharkhand Students Union,157930,0.04,0,,,
Sikkim Democratic Front,153409,0.04,1,,,
Marxist Co-ordination Committee,147470,0.04,0,,,
Rashtriya Samaj Paksha,146571,0.04,0,,,
Rashtriya Parivartan Dal,139145,0.04,0,,,
Jharkhand Disom Party,135685,0.03,0,,,
Pyramid Party of India,130362,0.03,0,,,
Ekta Shakti,126924,0.03,0,,,
Autonomous State Demand Committee,101808,0.03,0,,,
Akhil Bharatiya Sena,92210,0.02,0,,,
Hindu Mahasabha,88214,0.02,0,,,
Federal Party of Manipur,88179,0.02,0,,,
Bihar People's Party,86418,0.02,0,,,
Party of Democratic Socialism,81999,0.02,0,,,
Samata Samaj Party,78791,0.02,0,,,
Mahabharat People's Party,77055,0.02,0,,,
Arunachal Congress,76527,0.02,0,,,
Jharkhand Party,74364,0.02,0,,,
Jammu and Kashmir National Panthers Party,70078,0.02,0,,,
Indian Justice Party,67914,0.02,0,,,
Jharkhand Party (Naren),67782,0.02,0,,,
"United Minorities Front, Assam",64657,0.02,0,,,
Labour Party (Secular),63989,0.02,0,,,
Rashtriya Swabhimaan Party,58296,0.01,0,,,
Pragatisheel Manav Samaj Party,54746,0.01,0,,,
Lok Rajya Party,54097,0.01,0,,,
Bahujan Kisan Dal,52669,0.01,0,,,
Majlis Bachao Tahreek,47560,0.01,0,,,
Peoples Democratic Party,45720,0.01,0,,,
Uttarakhand Kranti Dal,43899,0.01,0,,,
Marxist Communist Party of India (S.S. Srivastava),38766,0.01,0,,,
Amra Bangali,38107,0.01,0,,,
Vidharbha Rajya Party,36974,0.01,0,,,
Urs Samyuktha Paksha,33128,0.01,0,,,
Ambedkarist Republican Party,31467,0.01,0,,,
Prabuddha Republican Party,29792,0.01,0,,,
Rashtravadi Communist Party,28757,0.01,0,,,
Rashtriya Samajik Nayak Paksha,27594,0.01,0,,,
Sampurna Vikas Dal,27135,0.01,0,,,
Tamil Desiyak Katchi,25348,0.01,0,,,
Kosi Vikas Party,25258,0.01,0,,,
Chhattisgarhi Samaj Party,24696,0.01,0,,,
Bharatiya Manavata Vikas Party,24176,0.01,0,,,
Loktantrik Samajwadi Party,22811,0.01,0,,,
Savarn Samaj Party,21246,0.01,0,,,
Ambedkar Samaj Party,20767,0.01,0,,,
Indian National League,20159,0.01,0,,,
Bharatiya Gaon Taj Dal,19909,0.01,0,,,
Akhil Bharatiya Congress Dal (Ambedkar),19548,0.01,0,,,
Socialist Party (Lohia),18628,0,0,,,
Shivrajya Party,18374,0,0,,,
Samajwadi Jan Parishad,17717,0,0,,,
Hindustan Janata Party,17410,0,0,,,
Revolutionary Communist Party of India (Rasik Bhatt),16691,0,0,,,
Bharatiya Republican Paksha,16546,0,0,,,
Rashtriya Vikas Party,15159,0,0,,,
Trinamool Gana Parishad,14933,0,0,,,
Manuvadi Party,14233,0,0,,,
Bharat Kranti Rakshak Party,12547,0,0,,,
Rashtriya Hamara Dal,12346,0,0,,,
Parivartan Samaj Party,12273,0,0,,,
Bharatiya Eklavya Party,12197,0,0,,,
Proutist Sarva Samaj Party,11561,0,0,,,
Bharatiya Rashtravadi Paksha,11459,0,0,,,
Pachim Banga Rajya Muslim League,10446,0,0,,,
Rajasthan Vikash Party,10032,0,0,,,
Lokpriya Samaj Party,9913,0,0,,,
Bharatiya Jana Sangh,9707,0,0,,,
Rashtriya Krantikari Samajwadi Party,9145,0,0,,,
Vidarbha Janata Congress,9097,0,0,,,
Shoshit Samaj Dal,8862,0,0,,,
Jai Hind Party,8645,0,0,,,
Bharatiya Minorities Suraksha Mahasangh,8200,0,0,,,
Akhil Bharatiya Desh Bhakt Morcha,7696,0,0,,,
Maharashtrawadi Gomantak Party,7584,0,0,,,
Rashtriya Swarn Dal,7374,0,0,,,
Navabharata Nirman Party,7169,0,0,,,
Krantikari Samyavadi Party,6948,0,0,,,
Democratic Bharatiya Samaj Party,6717,0,0,,,
Youth and Students Party,6580,0,0,,,
Ephraim Union,6512,0,0,,,
Akhil Bharatiya Lok Tantrik Alp-Sankhyak Jan Morcha,6003,0,0,,,
United Goans Democratic Party,5881,0,0,,,
Pichhra Samaj Party,5672,0,0,,,
All India Momin Conference,5113,0,0,,,
Labour Party of India (V.V. Prasad),4977,0,0,,,
All India Minorities Front,4874,0,0,,,
Republican Party of India (Khobragade),4790,0,0,,,
Naari Shakti Party,4649,0,0,,,
Bahujan Vikas Party,4533,0,0,,,
Bharatiya Ekta Dal,4312,0,0,,,
Shikshit Berozgar Sena,4303,0,0,,,
Yuva Gantantra Party,4140,0,0,,,
Rashtravadi Janata Party,3737,0,0,,,
Kranti Kari Jai Hind Sena,3393,0,0,,,
Mudiraj Rashtriya Samithi,3345,0,0,,,
Sikkim Sangram Parishad,3216,0,0,,,
Janata Vikas Party,3173,0,0,,,
National Students Party,3069,0,0,,,
Secular Party of India,3041,0,0,,,
Vikas Party,2998,0,0,,,
Social Action Party,2987,0,0,,,
Akhil Bharatiya Rashtriya Azad Hind Party,2801,0,0,,,
Loktantrik Chetna Party,2776,0,0,,,
Sikkim Himali Rajya Parishad,2765,0,0,,,
Janmangal Paksh,2684,0,0,,,
Sanatan Samaj Party,2679,0,0,,,
Lok Sewa Dal,2646,0,0,,,
Jana Unnayan Mancha,2592,0,0,,,
Rashtriya Lok Seva Morcha,2476,0,0,,,
Republican Party of India (Democratic),2370,0,0,,,
Bhartiya Lok Kalyan Dal,2242,0,0,,,
Panchayat Raj Party,2165,0,0,,,
Bharatiya Backward Party,2162,0,0,,,
All Kerala M.G.R. Dravida Munnetra Party,2158,0,0,,,
Akhil Bhartiya Rajarya Sabha,2080,0,0,,,
Bharat Ki Lok Jimmedar Party,2055,0,0,,,
Rashtriya Garima Party,2043,0,0,,,
Rashtriya Garib Dal,1977,0,0,,,
Ekta Krandi Dal U.P.,1939,0,0,,,
Bharatiya Labour Party,1758,0,0,,,
Phule Bharti Lok Party,1690,0,0,,,
Bharatiya Prajatantrik Shudh Gandhiwadi Krishak Dal,1689,0,0,,,
Mool Bharati (S) Party,1675,0,0,,,
Bharatiya Nagrik Party,1580,0,0,,,
Jammu and Kashmir Awami League,1519,0,0,,,
Hind Morcha,1459,0,0,,,
Jharkhand People's Party,1449,0,0,,,
Maharashtra Rajiv Congress,1399,0,0,,,
Janhit Samaj Party,1310,0,0,,,
Vijeta Party,1304,0,0,,,
Socialistic Democratic Party,1265,0,0,,,
Jansatta Party,1189,0,0,,,
Federal Congress of India,1037,0,0,,,
Nidaya Malik (N) Party,1030,0,0,,,
Indian Bahujan Samajwadi Party,972,0,0,,,
Desh Bhakt Party,912,0,0,,,
Ambedkar National Congress,825,0,0,,,
