Year,State_UT,Party_Alliance,Votes_Received,Vote_Share_Percentage,Seats_Won
2004,Andhra Pradesh,UPA,,,35
2004,Andhra Pradesh,NDA,,,5
2004,Andhra Pradesh,Left Front,,,2
2004,Andhra Pradesh,Others,,,0
2004,Arunachal Pradesh,UPA,,,0
2004,Arunachal Pradesh,NDA,,,2
2004,Arunachal Pradesh,Left Front,,,0
2004,Arunachal Pradesh,Others,,,0
2004,Assam,UPA,,,11
2004,Assam,NDA,,,3
2004,Assam,Left Front,,,0
2004,Assam,Others,,,2
2004,Bihar,UPA,,,29
2004,Bihar,NDA,,,11
2004,Bihar,Left Front,,,0
2004,Bihar,Others,,,0
2004,Chhattisgarh,UPA,,,1
2004,Chhattisgarh,NDA,,,10
2004,Chhattisgarh,Left Front,,,0
2004,Chhattisgarh,Others,,,0
2004,Dadra and Nagar Haveli,UPA,,,0
2004,Dadra and Nagar Haveli,NDA,,,0
2004,Dadra and Nagar Haveli,Left Front,,,0
2004,Dadra and Nagar Haveli,Others,,,1
2004,Daman and Diu,UPA,,,1
2004,Daman and Diu,NDA,,,0
2004,Daman and Diu,Left Front,,,0
2004,Daman and Diu,Others,,,0
2004,Delhi,UPA,,,6
2004,Delhi,NDA,,,1
2004,Delhi,Left Front,,,0
2004,Delhi,Others,,,0
2004,Goa,UPA,,,1
2004,Goa,NDA,,,1
2004,Goa,Left Front,,,0
2004,Goa,Others,,,0
2004,Gujarat,UPA,,,12
2004,Gujarat,NDA,,,14
2004,Gujarat,Left Front,,,0
2004,Gujarat,Others,,,0
2004,Haryana,UPA,,,9
2004,Haryana,NDA,,,1
2004,Haryana,Left Front,,,0
2004,Haryana,Others,,,0
2004,Himachal Pradesh,UPA,,,3
2004,Himachal Pradesh,NDA,,,1
2004,Himachal Pradesh,Left Front,,,0
2004,Himachal Pradesh,Others,,,0
2004,Jammu and Kashmir,UPA,,,3
2004,Jammu and Kashmir,NDA,,,0
2004,Jammu and Kashmir,Left Front,,,0
2004,Jammu and Kashmir,Others,,,3
2004,Jharkhand,UPA,,,12
2004,Jharkhand,NDA,,,1
2004,Jharkhand,Left Front,,,1
2004,Jharkhand,Others,,,0
2004,Karnataka,UPA,,,8
2004,Karnataka,NDA,,,18
2004,Karnataka,Left Front,,,2
2004,Karnataka,Others,,,0
2004,Kerala,UPA,,,2
2004,Kerala,NDA,,,0
2004,Kerala,Left Front,,,18
2004,Kerala,Others,,,0
2004,Madhya Pradesh,UPA,,,4
2004,Madhya Pradesh,NDA,,,25
2004,Madhya Pradesh,Left Front,,,0
2004,Madhya Pradesh,Others,,,0
2004,Maharashtra,UPA,,,23
2004,Maharashtra,NDA,,,25
2004,Maharashtra,Left Front,,,0
2004,Maharashtra,Others,,,0
2004,Manipur,UPA,,,1
2004,Manipur,NDA,,,0
2004,Manipur,Left Front,,,0
2004,Manipur,Others,,,1
2004,Meghalaya,UPA,,,1
2004,Meghalaya,NDA,,,1
2004,Meghalaya,Left Front,,,0
2004,Meghalaya,Others,,,0
2004,Mizoram,UPA,,,0
2004,Mizoram,NDA,,,1
2004,Mizoram,Left Front,,,0
2004,Mizoram,Others,,,0
2004,Nagaland,UPA,,,0
2004,Nagaland,NDA,,,1
2004,Nagaland,Left Front,,,0
2004,Nagaland,Others,,,0
2004,Odisha,UPA,,,3
2004,Odisha,NDA,,,18
2004,Odisha,Left Front,,,0
2004,Odisha,Others,,,0
2004,Puducherry,UPA,,,1
2004,Puducherry,NDA,,,0
2004,Puducherry,Left Front,,,0
2004,Puducherry,Others,,,0
2004,Punjab,UPA,,,2
2004,Punjab,NDA,,,11
2004,Punjab,Left Front,,,0
2004,Punjab,Others,,,0
2004,Rajasthan,UPA,,,4
2004,Rajasthan,NDA,,,21
2004,Rajasthan,Left Front,,,0
2004,Rajasthan,Others,,,0
2004,Sikkim,UPA,,,0
2004,Sikkim,NDA,,,1
2004,Sikkim,Left Front,,,0
2004,Sikkim,Others,,,0
2004,Tamil Nadu,UPA,,,39
2004,Tamil Nadu,NDA,,,0
2004,Tamil Nadu,Left Front,,,0
2004,Tamil Nadu,Others,,,0
2004,Tripura,UPA,,,0
2004,Tripura,NDA,,,0
2004,Tripura,Left Front,,,2
2004,Tripura,Others,,,0
2004,Uttar Pradesh,UPA,,,9
2004,Uttar Pradesh,NDA,,,11
2004,Uttar Pradesh,Left Front,,,0
2004,Uttar Pradesh,Others,,,61
2004,Uttarakhand,UPA,,,1
2004,Uttarakhand,NDA,,,3
2004,Uttarakhand,Left Front,,,0
2004,Uttarakhand,Others,,,1
2004,West Bengal,UPA,,,6
2004,West Bengal,NDA,,,1
2004,West Bengal,Left Front,,,35
2004,West Bengal,Others,,,0
2009,Andaman and Nicobar Islands,BJP,,100.0,1
2009,Andaman and Nicobar Islands,INC,,,0
2009,Andhra Pradesh,INC,,79.0,33
2009,Andhra Pradesh,AIMIM,,2.0,1
2009,Andhra Pradesh,TDP,,14.0,6
2009,Andhra Pradesh,TRS,,5.0,2
2009,Arunachal Pradesh,INC,,100.0,2
2009,Arunachal Pradesh,BJP,,,0
2009,Assam,INC,,50.0,7
2009,Assam,BJP,,29.0,4
2009,Assam,AGP,,7.0,1
2009,Assam,AIUDF,,7.0,1
2009,Assam,Bodoland People'S Front,,7.0,1
2009,Bihar,JD(U),,50.0,20
2009,Bihar,BJP,,30.0,12
2009,Bihar,RJD,,10.0,4
2009,Bihar,INC,,5.0,2
2009,Bihar,IND,,5.0,2
2009,Chandigarh,INC,,100.0,1
2009,Chandigarh,BJP,,,0
2009,Chhattisgarh,BJP,,91.0,10
2009,Chhattisgarh,INC,,9.0,1
2009,Dadra and Nagar Haveli,BJP,,100.0,1
2009,Dadra and Nagar Haveli,INC,,,0
2009,Delhi,INC,,100.0,7
2009,Delhi,BJP,,,0
2009,Goa,INC,,50.0,1
2009,Goa,BJP,,50.0,1
2009,Gujarat,BJP,,58.0,15
2009,Gujarat,INC,,42.0,11
2009,Haryana,INC,,90.0,9
2009,Haryana,BJP,,,0
2009,Haryana,Haryana Janhit Congress (Bl),,10.0,1
2009,Himachal Pradesh,BJP,,75.0,3
2009,Himachal Pradesh,INC,,25.0,1
2009,Jammu and Kashmir,JKNC,,50.0,3
2009,Jammu and Kashmir,INC,,33.0,2
2009,Jammu and Kashmir,IND,,33.0,1
2009,Jharkhand,BJP,,57.0,8
2009,Jharkhand,Jharkhand Vikas Morcha (Prajatantrik),,7.0,1
2009,Jharkhand,JMM,,14.0,2
2009,Jharkhand,INC,,7.0,1
2009,Jharkhand,IND,,14.0,2
2009,Karnataka,BJP,,68.0,19
2009,Karnataka,INC,,21.0,6
2009,Karnataka,JD(S),,11.0,3
2009,Kerala,INC,,65.0,13
2009,Kerala,Indian Union Muslim League,,10.0,2
2009,Kerala,Kerala Congress (M),,5.0,1
2009,Kerala,CPI(M),,20.0,4
2009,Kerala,1,,,
2009,Kerala,NCP,,,0
2009,Kerala,JD(U),,,0
2009,Madhya Pradesh,BJP,,,16
2009,Madhya Pradesh,INC,,,12
2009,Madhya Pradesh,BSP,,,1
2009,Maharashtra,INC,,,17
2009,Maharashtra,NCP,,,8
2009,Maharashtra,SS,,,11
2009,Maharashtra,BJP,,,9
2009,Maharashtra,Swabhimani Paksha,,,1
2009,Maharashtra,Bahujan Vikas Aaghadi,,,1
2009,Maharashtra,IND,,,1
2009,Manipur,INC,,,2
2009,Manipur,People'S Democratic Alliance,,,0
2009,Meghalaya,INC,,,1
2009,Meghalaya,NCP,,,1
2009,Mizoram,INC,,,1
2009,Mizoram,Mizo National Front,,,0
2009,Nagaland,Naga People'S Front,,,1
2009,Nagaland,INC,,,0
2009,Odisha,BJD,,,14
2009,Odisha,INC,,,6
2009,Odisha,CPI(M),,,1
2009,Puducherry,INC,,,1
2009,Puducherry,Pattali Makkal Katchi,,,0
2009,Puducherry,AIADMK,,,0
2009,Punjab,INC,,,8
